Chapter 2 - Checkpoint 1 [Total Pts: 4 Score] |1931281,Chapter 2 - Checkpoint 2 [Total Pts: 4 Score] |1931124,Chapter 2 - Checkpoint 3 [Total Pts: 4 Score] |1936678,Chapter 2 - Checkpoint 4 [Total Pts: 4 Score] |1936680,Chapter 2 - Checkpoint 5 [Total Pts: 4 Score] |1936681,Chapter 3 - Checkpoint 1 [Total Pts: 4 Score] |1936189,Chapter 3 - Checkpoint 2 [Total Pts: 4 Score] |1938812,Chapter 3 - Checkpoint 3 [Total Pts: 4 Score] |1938813,Chapter 3 - Checkpoint 4 [Total Pts: 4 Score] |1938815,Chapter 3 - Checkpoint 5 [Total Pts: 4 Score] |1938818,Chapter 4 - Checkpoint 1 [Total Pts: 4 Score] |1945790,Chapter 4 - Checkpoint 2 [Total Pts: 4 Score] |1945791,Chapter 4 - Checkpoint 3 [Total Pts: 4 Score] |1945793,Chapter 4 - Checkpoint 4 [Total Pts: 4 Score] |1949674,Chapter 4 - Checkpoint 5 [Total Pts: 4 Score] |1949678,Chapter 4 - Checkpoint 6 [Total Pts: 4 Score] |1949679,Chapter 4 - Checkpoint 7 [Total Pts: 4 Score] |1994614,Chapter 4 - Checkpoint 8 [Total Pts: 4 Score] |1994620,Chapter 4 - Checkpoint 9 [Total Pts: 4 Score] |1994622,Chapter 5 - Checkpoint 1 [Total Pts: 4 Score] |1994626,Chapter 5 - Checkpoint 2 [Total Pts: 4 Score] |1994627,Chapter 5 - Checkpoint 3 [Total Pts: 4 Score] |1994628,Chapter 7 - Checkpoint 1 [Total Pts: 4 Score] |1999578,Chapter 7 - Checkpoint 2 [Total Pts: 4 Score] |1999581,Chapter 7 - Checkpoint 3 [Total Pts: 4 Score] |2008962,Extra points [Total Pts: 0 Score] |1934963,Homework 1 Final Grade [Total Pts: 40 Score] |1995600,Homework 2 final grade [Total Pts: 40 Score] |2005601,Homework 3 final grade [Total Pts: 40 Score] |2008446,HOMEWORK 4 FINAL GRADE [Total Pts: up to 40 Score] |2017095,Homework 5 Final Grade [Total Pts: 40 Score] |2016174,Homework 6 [Total Pts: 40 Score] |1884931,Homework 7 [Total Pts: 40 Score] |1884933,Lab 1 [Total Pts: 20 Score] |1882989,Lab 10 [Total Pts: 20 Score] |1883436,Lab 11 [Total Pts: 20 Score] |1883437,Lab 12 [Total Pts: 20 Score] |1883438,Lab 13 Code [Total Pts: 10 Score] |2023050,Lab 13 PDF [Total Pts: 10 Score] |1883440,Lab 14 [Total Pts: 20 Score] |1883441,Lab 2 [Total Pts: 20 Score] |1883408,Lab 3 [Total Pts: 20 Score] |1883412,Lab 4 [Total Pts: 20 Score] |1883421,Lab 5 [Total Pts: 20 Score] |1883422,Lab 6 [Total Pts: 20 Score] |1883423,Lab 7 [Total Pts: 20 Score] |1883429,Lab 8 [Total Pts: 20 Score] |1883432,Lab 9 [Total Pts: 20 Score] |1883435,Project 2 [Total Pts: 100 Score] |2023051,Project1 [Total Pts: 100 Score] |1996715,Quiz 1 [Total Pts: 20 Score] |1937228,Quiz 2 [Total Pts: 20 Score] |1962628,Quiz 3 [Total Pts: 20 Score] |1995022,Quiz 4 [Total Pts: 20 Score] |2001868,Quiz 5 [Total Pts: 20 Score] |2009890,Quiz 6 [Total Pts: 20 Score] |2009024,Quiz 7 [Total Pts: 20 Score] |2009027,"Final Grade out of 1000 [Total Pts: up to 1,000 Score] |1995780"
4.0,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4.0,4,2,4,4,4.0,4,4.0,4,4,0.0,15.0,27.25,40.0,37.0,36.5,39.5,40.0,20.0,10.0,19.0,17.5,10,10.0,18.0,14.0,16.5,0,15.5,20.0,18.5,18.0,16.0,110.0,105.0,19.0,18.0,10.66666,11.0,18.8,18.0,0.0,867.71666
4.0,4,4,4,4,4,4,0,4,2,4,4,2,4,4,3.0,4,2,2,4,4.0,4,4.0,4,4,0.0,39.75,22.75,40.0,40.0,34.5,34.5,40.0,20.0,15.0,15.0,18.5,10,10.0,20.0,16.0,20.0,20,15.0,20.0,18.0,13.5,19.0,100.0,105.0,18.0,18.0,10.0,9.0,6.4,0.0,0.0,859.9
4.0,4,4,4,4,4,0,4,4,4,4,4,2,3,3,3.0,2,2,2,4,4.0,2,4.0,4,3,4.0,39.0,14.5,32.0,30.0,14.25,28.0,40.0,20.0,10.0,11.0,15.5,10,9.0,16.0,18.0,19.5,13,9.0,19.0,18.5,14.0,14.0,100.0,80.0,17.0,17.0,9.5,11.0,8.4,8.0,1.5,757.65
2.0,4,4,2,2,4,0,4,2,4,4,4,2,4,3,4.0,4,3,3,4,4.0,2,4.0,4,4,0.0,28.25,28.375,40.0,40.0,38.0,40.0,40.0,2.0,19.0,14.0,18.0,10,10.0,0.0,8.0,19.0,16,16.0,20.0,20.0,16.0,17.0,100.0,105.0,17.0,14.0,9.5,9.5,11.5,10.0,6.0,828.125
4.0,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2.0,4,4,4,4,4.0,4,4.0,4,4,4.0,38.0,16.375,28.5,39.0,36.75,36.5,39.0,19.0,20.0,18.0,15.0,10,9.5,12.0,8.0,16.5,20,16.0,20.0,20.0,15.0,16.0,100.0,104.5,15.0,12.0,10.66666,11.0,9.0,3.5,2.5,842.29166
4.0,4,4,4,4,4,4,4,4,4,4,4,2,4,4,0.0,4,4,2,4,4.0,4,4.0,4,2,4.0,36.5,26.5,40.0,2.5,36.0,38.5,20.0,20.0,19.0,16.5,13.5,0,0.0,0.0,12.0,11.75,17,16.0,17.0,19.0,12.0,17.0,65.0,84.5,20.0,16.0,10.0,14.0,13.0,8.5,2.0,720.25
4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4,4,4.0,4,4.0,4,4,0.0,41.0,32.5,36.0,40.0,38.5,36.5,40.0,20.0,20.0,15.0,19.5,10,10.0,20.0,20.0,20.0,20,16.0,19.0,20.0,20.0,17.5,100.0,93.0,19.0,18.0,14.5,15.0,15.5,19.0,16.0,941.5
4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4,4,4.0,4,4.0,4,4,4.0,38.625,15.25,35.0,31.5,27.0,33.5,40.0,20.0,10.0,18.0,20.0,10,7.0,17.0,8.0,17.5,20,20.0,19.0,20.0,7.0,14.0,100.0,100.0,18.0,14.0,9.0,9.0,4.0,5.5,0.0,816.875
4.0,4,4,4,4,4,4,4,4,2,4,4,4,4,4,0.0,4,4,2,2,4.0,4,4.0,4,4,4.0,36.75,30.225,40.0,39.0,38.0,39.5,40.0,20.0,10.0,13.0,15.0,10,10.0,16.0,16.0,19.75,16,17.2,18.0,19.5,20.0,17.0,100.0,105.0,20.0,20.0,0.0,18.0,13.0,17.0,13.5,906.425
4.0,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4.0,4,4,4,4,4.0,4,4.0,4,4,4.0,40.25,29.725,40.0,39.0,40.0,40.0,40.0,19.0,19.0,18.0,20.0,10,10.0,16.0,16.0,20.0,20,17.2,19.0,19.0,18.0,20.0,100.0,104.0,20.0,20.0,17.8,18.0,20.0,19.5,15.0,969.475
0.0,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0.0,0,0,0,0,0.0,0,4.0,0,0,0.0,12.5,19.5,40.0,26.0,29.75,36.0,40.0,20.0,15.0,9.0,20.0,10,10.0,16.0,0.0,18.5,15,10.8,18.0,10.0,10.0,13.5,100.0,98.5,15.0,16.0,7.5,10.0,15.6,20.0,9.0,743.15
4.0,4,4,4,4,4,4,4,4,4,2,4,4,4,4,0.0,4,4,2,4,4.0,4,4.0,4,4,4.0,36.5,28.0,38.0,35.0,19.5,27.5,40.0,20.0,10.0,15.0,14.5,10,10.0,18.0,14.0,19.5,10,13.2,17.0,17.5,14.0,16.25,100.0,104.5,19.0,19.0,11.33333,12.0,14.9,5.0,8.5,838.68333
4.0,4,3,2,3,4,3,4,3,4,4,4,2,2,0,0.0,3,2,2,2,2.0,2,3.0,4,0,0.0,31.75,0.0,20.0,0.0,20.5,24.0,0.0,2.0,19.0,12.5,17.5,0,9.5,0.0,14.0,19.0,11,11.7,15.0,18.0,16.0,17.0,0.0,0.0,17.0,19.0,13.33333,11.0,8.0,2.0,0.0,419.78333
2.0,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4.0,4,4,4,4,4.0,4,4.0,4,4,0.0,41.0,21.5,40.0,33.5,36.5,37.0,40.0,20.0,0.0,18.0,15.0,10,10.0,14.0,20.0,19.0,13,11.0,20.0,20.0,17.0,18.0,100.0,57.5,18.0,17.0,12.66666,8.0,7.2,9.5,3.0,808.36666
4.0,2,4,0,0,4,4,4,4,2,0,0,0,4,4,0.0,0,0,0,0,0.0,0,0.0,0,0,0.0,29.5,21.75,40.0,38.0,31.75,31.0,0.0,20.0,10.0,5.0,0.0,0,0.0,0.0,14.0,18.5,15,12.7,16.0,19.0,0.0,14.5,15.0,100.0,18.0,17.0,10.5,7.0,0.0,0.0,0.0,545.2
4.0,4,4,0,0,0,4,4,0,0,0,0,0,4,2,0.0,0,0,0,0,0.0,0,0.0,0,0,0.0,36.625,0.0,14.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0,0.0,0.0,12.0,19.0,0,0.0,17.0,0.0,8.0,0.0,0.0,19.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,198.625
4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4,4,4.0,4,4.0,0,4,6.0,41.375,34.75,40.0,33.0,31.75,39.5,40.0,20.0,10.0,8.0,4.5,10,10.0,16.0,20.0,14.0,17,17.0,19.0,20.0,20.0,16.5,110.0,90.0,20.0,19.0,13.66666,16.0,10.5,18.0,16.0,902.54166
4.0,4,4,2,4,4,0,0,0,0,4,4,2,4,3,3.0,0,0,0,4,4.0,4,2.0,4,4,5.0,37.625,31.0,40.0,38.0,38.0,40.0,40.0,20.0,10.0,18.0,19.0,10,10.0,16.0,20.0,20.0,15,17.7,18.0,11.5,11.0,16.25,100.0,100.0,16.0,17.0,7.0,8.0,5.2,4.0,11.5,839.775
2.0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4,4,4.0,4,0.0,0,0,0.0,41.0,32.0,40.0,35.0,39.0,31.0,40.0,20.0,20.0,17.5,17.5,10,8.0,16.0,18.0,18.5,16,18.5,16.0,17.5,17.0,18.0,100.0,104.0,17.0,20.0,13.66666,14.0,14.5,20.0,15.0,913.66666
4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.0,4,4,4,2,4.0,4,4.0,4,4,0.0,29.0,0.0,40.0,37.0,25.0,37.5,40.0,20.0,19.0,13.0,15.5,10,10.0,20.0,8.0,12.5,0,17.7,19.0,13.0,8.0,16.5,100.0,104.0,16.0,12.0,8.66666,11.5,5.0,4.5,2.5,776.86666
4.0,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4.0,4,4,4,4,4.0,4,4.0,4,4,4.0,38.0,21.0,40.0,40.0,38.5,39.5,40.0,20.0,20.0,18.0,18.5,10,10.0,18.0,20.0,20.0,14,17.2,20.0,20.0,16.0,17.0,100.0,100.0,19.0,16.0,15.5,14.0,17.0,18.0,12.0,924.2
4.0,4,0,0,0,0,4,0,2,4,4,4,2,4,4,3.0,4,4,4,4,4.0,4,4.0,4,4,14.0,38.0,0.0,37.5,37.0,33.0,36.5,0.0,20.0,10.0,9.0,19.5,0,10.0,0.0,18.0,18.5,11,2.9,17.0,12.5,12.0,15.5,100.0,97.0,12.0,10.0,8.0,7.0,14.2,6.0,0.0,701.1
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4,4,4.0,4,4.0,4,4,24.0,41.5,29.5,40.0,35.0,39.0,30.0,40.0,20.0,19.0,12.0,20.0,0,12.8,19.0,16.0,20.0,16,12.0,0.0,18.0,0.0,20.0,100.0,100.0,20.0,19.0,14.83333,17.0,16.0,20.0,10.5,906.13333
0.0,4,4,4,4,0,4,4,0,2,0,0,0,0,0,0.0,4,4,4,0,0.0,0,2.0,4,4,0.0,34.0,30.25,40.0,33.0,38.0,31.0,39.0,0.0,10.0,0.0,18.5,10,9.5,19.0,14.0,20.0,16,0.0,14.0,12.0,16.0,16.0,110.0,80.0,10.0,12.0,11.33333,8.0,10.4,0.0,6.0,720.98333
4.0,4,4,4,0,4,4,4,0,0,4,4,4,4,4,4.0,4,4,4,4,4.0,4,0.0,0,4,0.0,36.5,21.5,40.0,30.0,32.0,38.25,40.0,20.0,10.0,15.0,15.5,10,8.5,15.0,20.0,20.0,17,8.0,19.0,12.5,11.0,17.5,96.25,102.5,19.0,17.0,13.66666,13.0,13.4,16.0,11.0,844.06666
4.0,4,4,4,0,0,4,4,4,4,4,4,4,4,4,2.0,4,4,4,4,4.0,4,4.0,4,4,0.0,35.5,27.125,18.0,39.0,29.875,29.5,20.0,20.0,20.0,0.0,20.0,0,0.0,7.0,14.0,7.5,2,0.0,20.0,6.5,14.0,19.0,100.0,75.5,15.0,0.0,6.0,5.0,13.0,7.0,6.0,671.5
2.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4,4,4.0,4,4.0,4,4,4.0,41.5,38.0,36.0,34.0,35.0,38.25,39.0,20.0,10.0,12.0,20.0,10,9.5,19.0,19.0,19.75,20,20.0,20.0,16.0,12.0,19.0,100.0,100.0,20.0,20.0,13.5,13.0,15.6,8.0,0.0,905.1
2.0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2.0,0,0,0,0,0.0,0,4.0,4,4,0.0,33.25,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10.0,0.0,16.0,19.5,0,0.0,0.0,0.0,0.0,0.0,0.0,104.5,18.0,0.0,0.0,16.0,11.1,15.0,0.0,328.85
4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.0,4,4,4,4,4.0,4,4.0,4,4,4.0,31.625,15.0,36.0,35.0,33.5,39.5,40.0,19.0,10.0,13.0,15.5,10,10.0,16.0,14.0,18.5,17,6.2,17.0,18.5,14.0,15.25,100.0,98.0,14.0,13.0,12.0,14.0,12.1,20.0,13.5,846.175
4.0,4,4,4,4,4,0,0,0,0,2,4,4,4,4,4.0,4,4,4,4,4.0,4,4.0,4,2,9.0,42.0,25.75,40.0,39.0,34.5,38.0,40.0,20.0,20.0,15.0,20.0,10,10.0,16.0,18.0,20.0,0,18.0,20.0,19.0,18.0,16.0,91.0,100.5,19.0,20.0,18.5,11.0,16.8,20.0,16.5,906.55
0.0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
4.0,4,4,0,0,4,4,4,4,4,4,4,2,4,4,4.0,4,4,2,4,4.0,4,4.0,4,4,0.0,28.25,22.75,40.0,27.5,30.5,27.0,0.0,20.0,15.0,0.0,14.0,10,7.0,14.0,0.0,17.0,19,18.5,19.0,19.0,18.0,19.0,100.0,100.0,16.0,16.0,6.0,12.0,16.0,0.0,0.0,744.5
4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4,4,4.0,4,4.0,0,4,4.0,37.25,38.5,36.0,34.0,33.0,38.25,39.0,20.0,10.0,15.0,20.0,10,9.0,17.0,16.0,20.0,16,19.2,20.0,20.0,14.0,19.5,110.0,100.0,20.0,20.0,14.66666,14.0,14.7,13.5,7.0,920.56666
0.0,4,4,2,4,4,4,4,4,4,4,4,0,4,3,0.0,4,2,2,0,0.0,0,0.0,0,0,4.0,38.25,34.0,40.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0,0.0,0.0,14.0,18.5,20,0.0,15.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0,12.0,0.0,0.0,0.0,0.0,303.75
4.0,4,4,4,4,0,4,4,4,4,4,4,4,4,4,3.0,4,4,4,4,4.0,0,4.0,4,0,9.0,40.0,29.5,38.0,40.0,35.75,0.0,39.0,20.0,20.0,15.0,17.0,10,10.0,20.0,14.0,17.5,20,18.0,18.0,0.0,16.0,0.0,0.0,40.0,19.0,16.0,11.5,12.0,11.6,11.5,11.5,671.85
4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4,4,4.0,4,4.0,4,4,4.0,40.0,36.0,40.0,38.0,36.5,39.75,40.0,20.0,10.0,15.0,20.0,10,10.0,19.0,18.0,20.0,16,20.0,20.0,20.0,16.0,20.0,110.0,100.0,20.0,20.0,14.16666,14.0,13.0,10.0,0.0,934.41666
0.0,4,0,0,0,0,2,2,0,0,4,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,4.0,10.0,0.0,0.0,33.0,13.0,25.0,0.0,20.0,10.0,11.0,0.0,0,2.0,12.0,0.0,0.0,11,0.0,0.0,16.5,13.0,18.0,75.0,98.0,11.0,11.0,4.0,0.0,2.0,0.0,0.0,411.5
4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,2,2,4.0,4,4.0,4,4,4.0,41.0,36.0,40.0,33.0,35.0,40.0,40.0,20.0,20.0,15.0,20.0,10,10.0,19.0,20.0,20.0,20,20.0,20.0,19.0,17.5,16.5,110.0,100.0,20.0,20.0,14.16666,14.0,15.0,19.5,11.0,960.66666
4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4,4,4.0,4,4.0,0,4,4.0,38.875,25.75,35.0,33.5,29.0,34.5,40.0,20.0,19.0,11.0,19.5,10,10.0,11.0,16.0,17.5,0,19.2,20.0,20.0,0.0,17.5,100.0,100.0,19.0,16.0,13.33333,11.0,7.7,6.0,15.5,840.85833
0.0,4,4,2,4,4,2,4,2,3,4,3,2,4,4,4.0,4,4,4,4,4.0,4,4.0,4,4,7.5,30.625,23.375,40.0,40.0,35.75,40.0,20.0,2.0,10.0,16.0,18.0,10,10.0,17.0,10.0,20.0,15,12.0,19.0,20.0,16.0,16.0,100.0,99.5,17.0,11.0,9.83333,9.0,8.0,9.0,8.5,811.08333
4.0,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2.0,4,4,4,4,4.0,4,4.0,4,4,10.0,38.5,29.75,40.0,33.0,27.25,35.0,34.0,20.0,10.0,16.0,15.0,10,10.0,13.0,14.0,16.5,13,15.6,16.0,20.0,17.5,17.5,100.0,109.5,19.0,7.0,8.5,7.0,9.5,20.0,6.5,859.6
2.0,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2.0,4,4,2,4,4.0,4,4.0,4,4,4.0,0.0,23.5,40.0,16.0,40.0,31.0,40.0,20.0,20.0,15.0,20.0,10,9.5,10.0,14.0,18.25,20,16.0,17.0,20.0,15.0,20.0,100.0,96.5,18.0,15.0,9.83333,12.0,9.5,9.0,15.0,821.08333
4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4,0,4.0,4,4.0,4,4,0.0,40.0,27.75,35.0,31.0,36.0,39.25,40.0,20.0,10.0,12.0,15.5,10,10.0,15.0,14.0,20.0,16,16.8,18.0,18.5,14.0,20.0,100.0,105.0,18.0,20.0,11.66666,11.0,15.9,16.5,8.0,885.86666
2.0,4,4,4,4,0,4,4,0,0,2,0,0,4,4,4.0,4,4,2,4,4.0,4,2.0,4,4,0.0,35.5,32.25,40.0,35.0,38.0,40.0,39.0,20.0,10.0,15.0,0.0,10,9.5,19.0,14.0,17.5,16,0.0,19.0,20.0,17.0,16.0,110.0,100.0,15.0,11.0,13.16666,7.0,17.3,15.0,0.0,828.21666
4.0,4,4,0,0,0,4,4,2,2,4,4,4,0,0,0.0,2,2,2,4,4.0,2,0.0,4,4,0.0,34.5,27.75,38.0,22.0,17.0,34.25,40.0,19.0,10.0,9.0,20.0,0,0.0,13.0,14.0,17.0,0,0.0,0.0,0.0,9.0,0.0,100.0,95.5,18.0,17.0,7.0,11.0,15.7,20.0,0.0,668.7
4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4,4,4.0,4,4.0,4,4,4.0,42.0,32.25,40.0,36.0,32.5,40.0,40.0,20.0,0.0,14.0,20.0,10,10.0,19.0,14.0,18.5,16,20.0,20.0,19.0,20.0,15.5,15.0,100.0,18.0,19.0,15.83333,12.0,16.8,7.5,14.5,826.38333
4.0,2,4,0,0,0,0,0,0,0,0,0,0,4,4,0.0,2,4,2,4,4.0,4,4.0,4,4,0.0,35.5,21.75,37.0,29.5,31.75,40.0,40.0,19.0,10.0,15.0,15.5,10,6.5,13.0,16.0,17.75,16,0.0,8.0,0.0,14.0,11.75,100.0,97.5,17.0,12.0,6.0,7.0,9.0,4.5,1.5,717.5
