Chapter 2 - Checkpoint 1 [Total Pts: 4 Score] |1931281,Chapter 2 - Checkpoint 2 [Total Pts: 4 Score] |1931124,Chapter 2 - Checkpoint 3 [Total Pts: 4 Score] |1936678,Chapter 2 - Checkpoint 4 [Total Pts: 4 Score] |1936680,Chapter 2 - Checkpoint 5 [Total Pts: 4 Score] |1936681,Chapter 3 - Checkpoint 1 [Total Pts: 4 Score] |1936189,Chapter 3 - Checkpoint 2 [Total Pts: 4 Score] |1938812,Chapter 3 - Checkpoint 3 [Total Pts: 4 Score] |1938813,Chapter 3 - Checkpoint 4 [Total Pts: 4 Score] |1938815,Chapter 3 - Checkpoint 5 [Total Pts: 4 Score] |1938818,Chapter 4 - Checkpoint 1 [Total Pts: 4 Score] |1945790,Chapter 4 - Checkpoint 2 [Total Pts: 4 Score] |1945791,Chapter 4 - Checkpoint 3 [Total Pts: 4 Score] |1945793,Chapter 4 - Checkpoint 4 [Total Pts: 4 Score] |1949674,Chapter 4 - Checkpoint 5 [Total Pts: 4 Score] |1949678,Chapter 4 - Checkpoint 6 [Total Pts: 4 Score] |1949679,Chapter 4 - Checkpoint 7 [Total Pts: 4 Score] |1994614,Chapter 4 - Checkpoint 8 [Total Pts: 4 Score] |1994620,Chapter 4 - Checkpoint 9 [Total Pts: 4 Score] |1994622,Chapter 5 - Checkpoint 1 [Total Pts: 4 Score] |1994626,Chapter 5 - Checkpoint 2 [Total Pts: 4 Score] |1994627,Chapter 5 - Checkpoint 3 [Total Pts: 4 Score] |1994628,Chapter 7 - Checkpoint 1 [Total Pts: 4 Score] |1999578,Chapter 7 - Checkpoint 2 [Total Pts: 4 Score] |1999581,Chapter 7 - Checkpoint 3 [Total Pts: 4 Score] |2008962,Extra points [Total Pts: 0 Score] |1934963,Homework 1 Final Grade [Total Pts: 40 Score] |1995600,Homework 2 final grade [Total Pts: 40 Score] |2005601,Homework 3 final grade [Total Pts: 40 Score] |2008446,HOMEWORK 4 FINAL GRADE [Total Pts: up to 40 Score] |2017095,Homework 5 Final Grade [Total Pts: 40 Score] |2016174,Homework 6 [Total Pts: 40 Score] |1884931,Homework 7 [Total Pts: 40 Score] |1884933,Lab 1 [Total Pts: 20 Score] |1882989,Lab 10 [Total Pts: 20 Score] |1883436,Lab 11 [Total Pts: 20 Score] |1883437,Lab 12 [Total Pts: 20 Score] |1883438,Lab 13 Code [Total Pts: 10 Score] |2023050,Lab 13 PDF [Total Pts: 10 Score] |1883440,Lab 14 [Total Pts: 20 Score] |1883441,Lab 2 [Total Pts: 20 Score] |1883408,Lab 3 [Total Pts: 20 Score] |1883412,Lab 4 [Total Pts: 20 Score] |1883421,Lab 5 [Total Pts: 20 Score] |1883422,Lab 6 [Total Pts: 20 Score] |1883423,Lab 7 [Total Pts: 20 Score] |1883429,Lab 8 [Total Pts: 20 Score] |1883432,Lab 9 [Total Pts: 20 Score] |1883435,Project 2 [Total Pts: 100 Score] |2023051,Project1 [Total Pts: 100 Score] |1996715,Quiz 1 [Total Pts: 20 Score] |1937228,Quiz 2 [Total Pts: 20 Score] |1962628,Quiz 3 [Total Pts: 20 Score] |1995022,Quiz 4 [Total Pts: 20 Score] |2001868,Quiz 5 [Total Pts: 20 Score] |2009890,Quiz 6 [Total Pts: 20 Score] |2009024,Quiz 7 [Total Pts: 20 Score] |2009027,"Final Grade out of 1000 [Total Pts: up to 1,000 Score] |1995780"
4.0,4,4,4,0,4,4,4,4,2,2,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,4.0,5.5,25.25,40.0,36.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0,0.0,0.0,18.0,16.0,8,12.2,0.0,0.0,12.0,0.0,0.0,0.0,17.0,15.0,0.0,15.0,0.0,0.0,0.0,278.95
2.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2.0,4,4,4,4,4.0,4,4.0,4,4,4.0,16.0,31.0,40.0,39.0,26.0,25.5,40.0,20.0,10.0,17.0,14.0,10,9.5,20.0,14.0,18.5,10,13.4,16.0,18.0,9.0,19.25,100.0,96.5,18.0,19.0,11.16666,12.0,9.0,7.5,9.5,818.81666
2.0,4,4,0,0,3,4,4,4,4,4,4,2,4,4,3.0,4,2,2,2,4.0,2,4.0,0,4,0.0,35.25,16.5,40.0,40.0,28.75,34.5,40.0,20.0,19.0,18.5,20.0,10,10.0,20.0,14.0,18.0,15,7.3,19.0,14.0,18.0,18.5,100.0,100.0,15.0,17.0,9.5,10.0,14.7,14.0,10.5,846.0
4.0,4,4,4,4,0,4,4,0,0,2,0,0,0,0,0.0,4,2,2,0,0.0,0,4.0,4,4,0.0,35.25,0.0,29.0,0.0,36.0,37.5,39.0,20.0,10.0,9.0,19.0,0,7.0,15.0,5.5,19.5,0,8.0,0.0,10.0,12.0,12.0,100.0,72.5,13.0,15.0,6.5,9.0,12.5,11.5,11.0,629.75
4.0,4,4,4,4,4,4,4,4,2,4,4,2,4,4,3.5,4,4,4,4,4.0,4,4.0,4,4,4.0,42.0,28.25,36.0,37.0,36.0,40.0,40.0,19.0,10.0,12.0,19.5,10,8.5,14.0,14.0,18.0,15,18.1,16.5,20.0,8.0,16.0,100.0,100.0,19.0,17.0,12.33333,11.0,10.0,13.5,5.5,870.68333
2.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4,4,4.0,4,0.0,0,4,4.0,40.125,33.25,35.0,28.0,39.0,37.0,40.0,20.0,15.0,20.0,20.0,10,10.0,20.0,18.0,19.5,12,20.0,20.0,20.0,13.0,18.0,110.0,104.0,20.0,19.0,0.0,16.0,17.5,20.0,18.0,931.375
4.0,4,4,4,4,4,4,0,4,4,4,4,4,4,4,0.0,0,0,0,0,0.0,0,0.0,0,0,0.0,40.0,0.0,40.0,40.0,34.5,38.0,0.0,20.0,0.0,15.0,0.0,0,0.0,0.0,14.0,15.0,0,0.0,20.0,19.0,18.0,0.0,15.0,64.5,17.0,19.0,12.0,11.5,6.7,5.0,0.0,525.2
0.0,4,0,4,4,4,4,0,0,4,0,0,0,4,4,0.0,0,0,0,0,0.0,2,4.0,4,0,0.0,35.5,16.5,40.0,0.0,21.5,0.0,0.0,20.0,15.0,16.0,14.0,10,9.5,0.0,14.0,9.25,16,11.0,19.0,16.0,19.0,15.5,94.0,99.5,18.0,16.0,9.0,8.0,6.0,10.0,0.0,620.25
4.0,4,0,0,0,4,4,0,4,4,2,4,0,4,4,2.0,4,2,2,4,0.0,0,4.0,4,4,5.0,20.375,0.0,40.0,38.0,30.75,27.625,40.0,20.0,10.0,15.0,14.5,10,10.0,19.0,0.0,0.0,15,0.0,16.0,18.0,15.0,15.5,110.0,99.0,0.0,12.0,8.66666,7.0,9.0,9.5,4.0,707.91666
4.0,4,4,0,4,4,4,4,4,4,4,4,2,4,4,2.0,4,4,2,4,4.0,4,4.0,4,4,5.0,14.0,2.0,35.0,27.0,32.5,0.0,0.0,19.0,10.0,12.0,15.5,10,8.0,17.0,16.0,19.0,19,7.0,20.0,0.0,0.0,20.0,0.0,26.0,15.0,17.0,11.0,0.0,7.2,3.5,6.0,483.7
4.0,4,0,0,0,0,4,4,4,4,0,0,0,0,0,0.0,0,0,0,0,4.0,0,4.0,4,0,4.0,34.375,22.0,32.0,0.0,28.0,0.0,39.0,20.0,0.0,12.5,15.5,0,0.0,15.0,20.0,18.5,16,9.8,9.0,0.0,10.0,14.5,100.0,98.5,20.0,16.0,0.0,9.5,6.0,6.0,10.0,627.175
4.0,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3.0,4,2,2,4,4.0,4,4.0,0,4,0.0,40.5,26.5,40.0,35.5,38.0,40.0,40.0,20.0,20.0,15.0,14.0,10,9.5,18.0,10.0,20.0,16,13.2,18.0,18.0,14.0,15.0,100.0,99.0,18.0,15.0,12.5,6.0,4.5,0.0,0.0,840.2
4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.0,4,4,4,4,4.0,4,4.0,4,2,0.0,39.0,33.25,40.0,37.0,34.75,38.0,39.0,19.0,15.0,15.5,13.0,7,7.0,17.0,18.0,19.0,16,16.0,19.0,18.5,19.0,17.5,100.0,87.0,19.0,19.0,12.16666,15.0,14.9,17.0,6.5,887.56666
4.0,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4.0,4,2,2,4,4.0,4,4.0,4,4,9.0,42.0,28.0,40.0,26.0,37.0,40.0,40.0,20.0,15.0,15.0,20.0,10,10.0,16.0,8.0,19.5,20,20.0,16.0,4.5,12.0,20.0,110.0,106.0,19.0,18.0,14.83333,17.0,18.0,17.0,10.5,915.33333
4.0,4,0,0,0,4,0,0,4,4,4,4,2,2,2,0.0,4,4,2,2,0.0,0,4.0,0,0,0.0,30.75,14.25,36.0,10.5,29.5,32.5,40.0,20.0,10.0,16.0,18.0,10,10.0,14.0,14.0,17.5,14,7.8,17.0,20.0,7.0,20.0,100.0,93.5,16.0,10.0,10.5,6.5,5.1,5.0,4.0,714.4
4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4,4,4.0,4,4.0,4,4,5.0,37.875,12.0,40.0,38.0,37.5,40.0,40.0,20.0,20.0,15.0,20.0,10,10.0,20.0,14.0,20.0,20,20.0,20.0,20.0,18.0,20.0,100.0,100.0,17.0,18.0,17.16666,12.0,16.5,20.0,9.5,932.54166
4.0,4,4,4,0,4,4,4,4,4,4,4,4,4,4,2.0,4,4,4,4,4.0,4,0.0,4,0,0.0,38.125,23.75,40.0,37.0,34.25,0.0,34.0,19.0,20.0,18.0,15.5,10,10.0,6.0,16.0,15.5,8,14.8,16.0,17.5,17.0,12.5,100.0,95.5,17.0,17.0,10.5,0.0,4.5,8.5,8.0,774.925
2.0,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4.0,4,2,4,4,4.0,4,4.0,4,4,5.0,41.0,20.75,40.0,40.0,30.0,35.25,40.0,20.0,20.0,18.5,20.0,10,10.0,20.0,14.0,18.0,16,13.4,17.0,20.0,18.0,18.0,100.0,100.0,16.0,18.0,9.66666,10.0,15.9,20.0,11.5,902.96666
0.0,4,0,0,0,0,2,4,0,0,0,0,0,0,0,0.0,2,2,2,0,0.0,0,0.0,0,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18.5,0.0,99.5,18.0,9.0,9.0,0.0,0.0,0.0,0.0,194.0
4.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,4,4,0.0,34.25,0.0,40.0,29.0,38.5,39.25,39.0,20.0,10.0,15.0,20.0,10,10.0,12.0,14.0,20.0,15,12.6,16.0,18.0,7.0,14.5,100.0,94.5,15.0,9.0,0.0,7.0,4.9,15.0,12.0,716.5
4.0,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4.0,4,2,4,4,4.0,4,4.0,4,4,4.0,14.0,28.75,40.0,39.0,38.5,40.0,40.0,20.0,10.0,0.0,15.5,10,10.0,16.0,14.0,18.5,16,16.0,17.0,20.0,17.0,18.0,100.0,97.5,18.0,18.0,12.16666,9.0,9.7,8.0,0.5,834.11666
4.0,4,4,4,4,4,4,4,4,4,3,4,2,3,3,4.0,2,2,4,4,4.0,4,0.0,4,4,0.0,38.625,35.5,40.0,33.0,39.0,35.75,40.0,20.0,19.0,15.0,20.0,10,10.0,20.0,18.0,20.0,20,16.5,20.0,19.5,16.0,18.0,100.0,100.0,20.0,20.0,17.83333,11.0,9.8,14.0,14.5,923.00833
4.0,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4.0,4,4,4,4,4.0,4,4.0,4,4,10.0,34.5,22.75,40.0,38.0,33.5,38.25,40.0,2.0,20.0,12.5,13.0,10,9.0,18.0,8.0,20.0,14,12.0,20.0,18.5,15.0,15.75,100.0,100.0,18.0,16.0,10.0,6.0,6.7,20.0,1.5,843.95
0.0,4,0,0,0,0,0,0,4,4,0,0,0,4,4,0.0,0,0,0,4,4.0,4,4.0,0,0,40.0,9.5,28.75,16.0,34.0,37.0,0.0,0.0,20.0,0.0,13.0,0.0,0,0.0,0.0,0.0,0.0,13,13.3,19.0,18.0,0.0,0.0,0.0,105.0,0.0,20.0,11.0,11.0,14.6,0.0,0.0,459.15
4.0,4,4,4,4,4,4,4,2,2,2,4,4,4,4,2.0,2,2,2,4,4.0,4,4.0,4,4,5.0,34.75,25.5,35.0,22.0,31.0,39.0,40.0,20.0,10.0,10.0,16.5,10,9.5,0.0,12.0,16.0,13,0.0,16.0,12.5,9.0,13.5,100.0,68.0,14.0,16.0,7.0,9.5,6.5,6.0,0.0,713.25
4.0,4,4,0,4,4,0,0,0,0,2,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,101.5
4.0,4,0,0,0,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4,4,4.0,4,4.0,4,4,0.0,35.875,23.75,35.0,37.0,21.5,20.25,39.0,20.0,10.0,15.0,20.0,10,9.5,8.0,14.0,19.5,8,20.0,19.0,20.0,16.0,18.0,100.0,96.5,19.0,16.0,11.66666,10.0,15.0,14.0,8.5,823.04166
4.0,4,0,4,0,4,4,4,4,4,2,0,0,4,4,0.0,4,4,2,4,4.0,4,0.0,0,0,0.0,30.5,0.0,0.0,0.0,24.75,0.0,0.0,20.0,0.0,15.0,0.0,0,0.0,0.0,14.0,15.5,0,0.0,17.0,0.0,8.0,0.0,0.0,15.5,15.0,0.0,12.5,10.0,5.0,0.0,0.0,266.75
4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2.0,4,4,4,4,4.0,4,4.0,4,4,0.0,39.0,24.0,40.0,32.0,16.25,32.5,40.0,20.0,15.0,10.5,15.5,10,10.0,13.0,14.0,17.0,20,14.0,18.0,19.0,13.0,17.0,100.0,104.0,20.0,17.0,10.66666,11.0,14.6,14.5,7.0,851.51666
4.0,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4.0,4,4,2,4,4.0,4,4.0,4,2,0.0,11.5,31.0,40.0,39.0,32.0,28.0,39.0,20.0,15.0,16.5,20.0,0,0.0,18.0,8.0,17.25,14,10.5,19.0,20.0,14.0,14.5,100.0,84.5,2.0,20.0,7.0,17.0,15.8,19.0,11.0,802.55
4.0,4,4,4,0,4,4,4,4,0,4,4,2,4,4,4.0,4,4,4,4,4.0,4,4.0,4,4,0.0,39.625,30.625,40.0,39.0,39.5,39.5,40.0,20.0,20.0,18.0,20.0,10,10.0,18.0,20.0,20.0,20,18.5,20.0,19.5,20.0,17.5,100.0,104.5,18.0,20.0,15.33333,18.0,17.0,18.0,12.0,957.58333
4.0,4,3,4,4,4,4,4,4,4,2,4,3,4,2,3.0,4,3,2,4,0.0,0,2.0,4,4,15.0,38.0,32.125,40.0,33.0,0.0,36.75,0.0,19.0,20.0,16.0,20.0,10,10.0,0.0,14.0,18.5,19,14.8,15.0,19.5,0.0,0.0,100.0,100.0,16.0,18.0,14.16666,15.0,14.4,19.0,0.0,772.24166
0.0,0,0,4,4,4,4,4,0,0,0,0,0,4,4,4.0,4,4,0,0,0.0,0,0.0,0,4,0.0,25.375,0.0,40.0,26.0,34.5,30.75,40.0,20.0,0.0,0.0,15.0,10,9.5,10.0,14.0,0.0,0,0.0,20.0,20.0,13.0,16.0,100.0,56.0,0.0,0.0,0.0,8.0,1.0,13.0,0.0,572.125
4.0,4,4,4,4,4,4,2,4,4,3,4,3,2,3,2.0,4,4,3,4,4.0,4,4.0,4,2,0.0,39.0,33.25,36.0,35.0,39.5,38.5,40.0,20.0,20.0,20.0,15.5,10,10.0,20.0,17.0,20.0,12,16.0,19.0,20.0,18.0,18.0,75.0,105.0,18.0,19.0,13.0,5.0,10.2,8.0,6.5,864.45
0.0,3,0,0,0,0,0,0,4,0,2,4,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,4.0,30.0,0.0,11.0,0.0,13.0,0.0,0.0,20.0,10.0,0.0,0.0,0,0.0,0.0,14.0,15.75,11,6.4,14.0,17.5,0.0,13.5,0.0,100.0,13.0,15.0,0.0,11.0,4.0,0.0,0.0,336.15
4.0,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4.0,4,4,4,4,4.0,4,4.0,4,4,10.0,40.0,38.0,36.0,40.0,36.0,40.0,40.0,20.0,20.0,15.0,0.0,10,10.0,19.0,16.0,20.0,18,15.0,20.0,19.5,16.0,19.5,100.0,110.0,18.0,16.0,15.83333,14.0,15.8,15.0,4.0,929.63333
4.0,2,4,4,4,0,4,4,4,4,4,4,2,4,4,4.0,4,4,2,4,4.0,4,4.0,4,2,0.0,33.5,24.25,20.0,36.0,38.0,40.0,40.0,20.0,15.0,13.0,0.0,10,10.0,20.0,14.0,13.5,13,17.7,17.0,18.0,15.0,20.0,100.0,105.0,19.0,19.0,15.16666,10.0,9.8,10.0,7.0,835.91666
4.0,4,0,0,0,0,4,4,0,0,2,4,2,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0.0,29.125,0.0,4.0,0.0,21.0,38.0,0.0,2.0,10.0,12.0,20.0,10,10.0,0.0,14.0,16.0,8,14.0,0.0,17.0,13.0,0.0,0.0,79.0,17.0,0.0,0.0,6.0,0.0,0.0,0.0,364.125
4.0,4,4,4,4,0,4,4,4,4,4,4,2,4,4,3.5,4,4,2,4,4.0,4,4.0,4,4,4.0,38.5,34.75,40.0,39.0,0.0,37.0,0.0,19.0,15.0,12.0,15.5,0,0.0,0.0,19.0,19.0,20,18.0,20.0,0.0,17.0,17.0,100.0,80.0,19.0,20.0,13.66666,12.0,15.5,18.0,0.0,754.41666
4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,2,4,4.0,4,4.0,4,4,0.0,39.625,16.5,31.0,29.0,22.0,26.25,40.0,20.0,0.0,12.0,0.0,0,0.0,18.0,16.0,17.25,18,11.0,17.0,17.5,14.0,15.5,100.0,97.0,15.0,10.0,10.5,8.0,5.0,0.0,7.5,731.625
4.0,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4,4,4.0,4,4.0,4,4,4.0,37.5,27.25,40.0,38.0,35.0,35.5,40.0,20.0,10.0,18.0,15.5,10,9.5,16.0,14.0,20.0,16,16.0,19.0,19.5,18.0,20.0,100.0,100.0,16.0,16.0,10.0,12.0,9.1,6.0,6.5,871.35
4.0,4,0,0,0,0,2,4,2,2,4,4,2,4,4,4.0,4,2,2,4,4.0,4,0.0,0,0,0.0,31.5,0.0,26.0,14.5,37.0,27.0,0.0,7.0,19.0,15.0,19.5,10,2.0,0.0,14.0,16.75,12,7.0,14.0,20.0,15.0,16.0,0.0,91.0,11.0,6.0,7.0,5.0,3.5,2.5,3.5,512.75
4.0,4,4,4,4,0,0,0,4,4,0,0,0,4,3,4.0,2,2,2,2,4.0,2,0.0,0,0,4.0,39.0,21.75,0.0,40.0,37.0,0.0,20.0,20.0,10.0,0.0,20.0,0,0.0,7.0,16.0,19.25,18,18.0,19.0,0.0,18.0,16.0,91.0,97.0,14.0,0.0,4.0,9.0,5.0,0.0,0.0,621.0
4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4,4,4.0,2,4.0,4,4,4.0,42.0,31.75,40.0,39.0,32.0,40.0,40.0,20.0,20.0,20.0,20.0,10,10.0,14.0,16.0,19.0,11,13.8,20.0,20.0,20.0,20.0,110.0,110.0,17.0,19.0,11.83333,17.0,17.8,20.0,9.0,957.18333
0.0,4,4,2,4,4,2,2,2,4,4,4,2,4,4,4.0,4,4,4,4,4.0,4,4.0,4,4,10.0,29.625,14.0,40.0,38.0,32.75,40.0,40.0,2.0,20.0,16.0,18.5,10,10.0,14.0,14.0,19.5,16,16.0,19.0,20.0,15.5,17.0,100.0,100.0,16.0,10.0,8.66666,8.0,8.0,3.5,0.5,817.54166
4.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,2,0,4.0,4,4.0,4,0,0.0,7.0,23.0,31.0,0.0,0.0,0.0,19.0,20.0,0.0,0.0,20.0,0,7.0,16.0,18.0,0.0,0,0.0,0.0,0.0,0.0,9.0,40.0,0.0,0.0,8.0,6.0,6.0,7.5,3.0,0.0,279.5
2.0,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4.0,4,4,4,4,4.0,4,4.0,4,4,0.0,41.5,24.0,40.0,33.5,38.5,40.0,40.0,20.0,0.0,18.0,15.5,10,10.0,16.0,20.0,19.5,13,12.0,20.0,20.0,19.0,20.0,100.0,52.0,17.0,19.0,11.66666,10.0,8.4,9.5,2.5,816.56666
0.0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
4.0,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3.0,4,4,4,4,4.0,4,4.0,4,4,4.0,38.5,28.5,40.0,33.0,32.875,36.75,40.0,19.0,15.0,15.0,13.0,10,10.0,4.0,19.0,18.5,20,10.4,18.0,12.5,18.0,17.0,100.0,100.0,16.0,16.0,13.5,10.0,15.5,11.0,11.5,868.525
4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,2,4,4.0,4,4.0,4,4,0.0,35.5,5.5,40.0,34.0,35.5,0.0,40.0,20.0,20.0,13.0,15.5,10,10.0,18.0,16.0,18.5,15,16.0,18.0,15.5,16.0,20.0,35.0,100.0,20.0,19.0,12.83333,9.5,12.5,7.0,8.0,758.83333
4.0,4,4,0,0,4,4,4,0,0,2,4,2,0,0,0.0,2,4,2,0,0.0,0,0.0,0,0,0.0,36.375,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0,0.0,0.0,16.0,20.0,0,0.0,0.0,13.5,14.0,0.0,40.0,85.0,17.0,20.0,13.5,10.0,0.0,0.0,0.0,345.375
0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4,4,4.0,4,4.0,4,4,0.0,39.0,10.5,40.0,37.5,29.0,32.5,40.0,20.0,19.0,9.0,20.0,10,10.0,20.0,14.0,18.5,14,6.5,16.0,12.0,18.0,18.5,100.0,100.0,15.0,17.0,13.0,12.0,17.1,16.0,11.0,856.1
4.0,4,0,4,0,4,4,2,4,4,4,4,2,3,3,0.0,4,2,3,4,4.0,4,4.0,0,0,2.0,22.625,24.75,40.0,24.0,24.75,28.0,40.0,2.0,10.0,12.0,13.5,10,10.0,20.0,14.0,17.25,6,0.0,17.0,19.5,11.0,17.5,100.0,82.0,17.0,8.0,0.0,7.0,10.4,9.5,11.5,702.275
0.0,4,0,4,3,3,4,4,4,4,3,4,2,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0.0,36.5,12.0,0.0,38.0,0.0,30.0,40.0,20.0,0.0,18.0,19.5,10,10.0,14.0,18.0,18.5,20,14.8,0.0,18.0,14.0,18.0,40.0,104.0,18.0,17.0,12.16666,13.0,6.1,18.0,14.0,655.56666
4.0,4,4,4,4,0,4,4,4,4,4,4,2,4,4,3.0,4,4,4,4,4.0,4,4.0,4,4,0.0,34.25,15.0,36.0,26.5,35.0,36.5,30.0,2.0,15.0,12.0,19.5,0,0.0,10.0,14.0,16.5,20,14.1,18.0,18.5,11.5,16.0,100.0,93.0,17.0,13.0,13.66666,9.0,11.8,13.0,14.5,780.81666
4.0,4,0,0,0,4,4,2,4,4,2,4,4,4,2,0.0,4,2,2,4,4.0,3,2.0,4,4,10.0,9.5,28.0,40.0,33.0,0.0,38.5,0.0,20.0,10.0,0.0,19.0,10,10.0,5.0,0.0,18.0,16,11.5,18.0,15.5,16.0,13.5,110.0,100.0,16.0,17.0,15.16666,15.0,13.5,20.0,3.0,727.16666
4.0,4,4,4,4,4,4,4,4,4,0,0,0,4,4,3.0,4,4,4,4,4.0,4,4.0,4,4,5.0,37.25,40.0,38.0,40.0,37.0,38.75,40.0,20.0,15.0,18.0,19.5,10,10.0,17.0,20.0,20.0,14,15.6,17.0,18.0,16.0,20.0,100.0,105.0,18.0,19.0,14.5,13.0,18.8,18.0,15.5,939.9
4.0,4,0,0,0,0,4,4,2,4,4,4,2,4,2,0.0,4,4,0,2,4.0,4,0.0,0,0,5.0,35.5,0.0,16.0,17.5,36.0,27.0,0.0,20.0,20.0,14.5,20.0,0,0.0,0.0,14.0,5.0,13,7.4,12.0,17.5,15.5,14.0,0.0,93.5,9.0,11.0,7.33333,14.0,14.1,4.5,0.0,519.33333
4.0,4,4,4,4,4,4,0,0,0,4,4,2,4,0,0.0,4,4,2,0,0.0,0,0.0,0,0,0.0,34.875,0.0,20.0,21.5,0.0,14.0,0.0,20.0,0.0,16.5,0.0,0,0.0,0.0,14.0,0.0,0,0.0,0.0,0.0,6.0,16.0,0.0,53.0,0.0,13.0,9.0,8.0,3.5,0.0,0.0,301.375
4.0,4,4,4,4,0,0,0,4,2,4,4,2,4,4,3.0,4,4,2,0,4.0,4,4.0,4,4,0.0,39.5,26.0,15.0,38.0,32.0,39.5,40.0,20.0,19.0,15.0,16.0,10,10.0,16.0,19.0,20.0,16,10.8,18.0,13.0,20.0,17.5,100.0,96.0,16.0,13.0,9.66666,11.0,11.0,10.5,0.0,819.46666
4.0,4,3,0,4,4,4,4,4,2,4,4,4,4,4,0.0,4,2,0,4,4.0,4,0.0,4,4,0.0,30.0,0.0,40.0,34.0,35.25,36.75,0.0,20.0,10.0,18.0,20.0,10,10.0,12.0,18.0,0.0,15,2.0,18.0,17.5,18.0,18.0,100.0,104.5,14.0,12.0,9.5,10.0,4.2,8.0,11.0,737.2
