Lab 1 [Total Pts: 20 Score] |1882989,Homework 1 Final Grade [Total Pts: 40 Score] |1995600,Lab 2 [Total Pts: 20 Score] |1883408,Chapter 2 - Checkpoint 3 [Total Pts: 4 Score] |1936678,Chapter 2 - Checkpoint 4 [Total Pts: 4 Score] |1936680,Chapter 2 - Checkpoint 5 [Total Pts: 4 Score] |1936681,Quiz 1 [Total Pts: 20 Score] |1937228,Lab 3 [Total Pts: 20 Score] |1883412,Chapter 3 - Checkpoint 1 [Total Pts: 4 Score] |1936189,Chapter 3 - Checkpoint 2 [Total Pts: 4 Score] |1938812,Chapter 3 - Checkpoint 3 [Total Pts: 4 Score] |1938813,Homework 2 final grade [Total Pts: 40 Score] |2005601,Lab 4 [Total Pts: 20 Score] |1883421,Chapter 3 - Checkpoint 4 [Total Pts: 4 Score] |1938815,Chapter 3 - Checkpoint 5 [Total Pts: 4 Score] |1938818
20,15,14,4,4,4,19,16.5,0,4,4,27.25,0,4,4
20,39.75,16,4,4,4,18,20,4,4,0,22.75,20,4,2
20,39,18,4,4,4,17,19.5,4,0,4,14.5,13,4,4
2,28.25,8,4,2,2,17,19,4,0,4,28.375,16,2,4
19,38,8,4,4,4,15,16.5,4,4,4,16.375,20,4,4
20,36.5,12,4,4,4,20,11.75,4,4,4,26.5,17,4,4
20,41,20,4,4,4,19,20,4,4,4,32.5,20,4,4
20,38.625,8,4,4,4,18,17.5,4,4,4,15.25,20,4,4
20,36.75,16,4,4,4,20,19.75,4,4,4,30.225,16,4,2
19,40.25,16,4,4,4,20,20,4,4,4,29.725,20,4,4
20,12.5,0,4,0,0,15,18.5,4,4,4,19.5,15,4,4
20,36.5,14,4,4,4,19,19.5,4,4,4,28,10,4,4
2,31.75,14,3,2,3,17,19,4,3,4,0,11,3,4
20,41,20,4,4,4,18,19,4,4,4,21.5,13,4,4
20,29.5,14,4,0,0,18,18.5,4,4,4,21.75,15,4,2
20,36.625,12,4,0,0,15,19,0,4,4,0,0,0,0
20,41.375,20,4,4,4,20,14,4,4,4,34.75,17,4,4
20,37.625,20,4,2,4,16,20,4,0,0,31,15,0,0
20,41,18,4,4,4,17,18.5,4,4,4,32,16,4,4
20,29,8,4,4,4,16,12.5,4,4,4,0,0,4,4
20,38,20,4,4,4,19,20,4,4,0,21,14,0,0
20,38,18,0,0,0,12,18.5,0,4,0,0,11,2,4
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
20,41.5,16,4,4,4,20,20,4,4,4,29.5,16,4,4
0,34,14,4,4,4,10,20,0,4,4,30.25,16,0,2
20,36.5,20,4,4,0,19,20,4,4,4,21.5,17,0,0
20,35.5,14,4,4,0,15,7.5,0,4,4,27.125,2,4,4
20,41.5,19,4,4,4,20,19.75,4,4,4,38,20,4,4
0,33.25,16,4,4,4,18,19.5,4,4,4,5.5,0,4,4
19,31.625,14,4,4,4,14,18.5,4,4,4,15,17,4,4
20,42,18,4,4,4,19,20,4,0,0,25.75,0,0,0
0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
20,28.25,0,4,0,0,16,17,4,4,4,22.75,19,4,4
20,37.25,16,4,4,4,20,20,4,4,4,38.5,16,4,4
19,38.25,14,4,2,4,19,18.5,4,4,4,34,20,4,4
20,40,14,4,4,4,19,17.5,0,4,4,29.5,20,4,4
20,40,18,4,4,4,20,20,4,4,4,36,16,4,4
20,10,0,0,0,0,11,0,0,2,2,0,11,0,0
20,41,20,4,4,4,20,20,4,4,4,36,20,4,4
20,38.875,16,4,4,4,19,17.5,4,4,4,25.75,0,4,4
2,30.625,10,4,2,4,17,20,4,2,4,23.375,15,2,3
20,38.5,14,4,4,4,19,16.5,4,4,4,29.75,13,4,2
20,0,14,4,4,4,18,18.25,4,4,4,23.5,20,4,4
20,40,14,4,4,4,18,20,4,4,4,27.75,16,4,4
20,35.5,14,4,4,4,15,17.5,0,4,4,32.25,16,0,0
19,34.5,14,4,0,0,18,17,0,4,4,27.75,0,2,2
20,42,14,4,4,4,18,18.5,4,4,4,32.25,16,4,4
19,35.5,16,4,0,0,17,17.75,0,0,0,21.75,16,0,0
19,5.5,18,4,4,0,17,16,4,4,4,25.25,8,4,2
20,16,14,4,4,4,18,18.5,4,4,4,31,10,4,4
20,35.25,14,4,0,0,15,18,3,4,4,16.5,15,4,4
20,35.25,5.5,4,4,4,13,19.5,0,4,4,0,0,0,0
19,42,14,4,4,4,19,18,4,4,4,28.25,15,4,2
20,40.125,18,4,4,4,20,19.5,4,4,4,33.25,12,4,4
20,40,14,4,4,4,17,15,4,4,0,0,0,4,4
20,35.5,14,0,4,4,18,9.25,4,4,0,16.5,16,0,4
20,20.375,0,0,0,0,0,0,4,4,0,0,15,4,4
19,14,16,4,0,4,15,19,4,4,4,2,19,4,4
20,34.375,20,0,0,0,20,18.5,0,4,4,22,16,4,4
20,40.5,10,4,4,4,18,20,4,4,4,26.5,16,4,4
19,39,18,4,4,4,19,19,4,4,4,33.25,16,4,4
20,42,8,4,4,4,19,19.5,4,4,4,28,20,4,2
20,30.75,14,0,0,0,16,17.5,4,0,0,14.25,14,4,4
20,37.875,14,4,4,4,17,20,4,4,4,12,20,4,4
19,38.125,16,4,4,0,17,15.5,4,4,4,23.75,8,4,4
20,41,14,4,4,4,16,18,4,4,4,20.75,16,4,4
20,4,0,0,0,0,18,0,0,2,4,0,0,0,0
20,34.25,14,4,0,0,15,20,0,0,0,0,15,0,0
20,14,14,4,4,4,18,18.5,4,4,4,28.75,16,2,4
20,38.625,18,4,4,4,20,20,4,4,4,35.5,20,4,4
2,34.5,8,4,4,4,18,20,4,4,4,22.75,14,4,4
20,9.5,0,0,0,0,0,0,0,0,0,28.75,13,4,4
20,34.75,12,4,4,4,14,16,4,4,4,25.5,13,2,2
20,37.5,0,4,0,4,14,0,4,0,0,0,0,0,0
20,35.875,14,0,0,0,19,19.5,4,4,4,23.75,8,4,4
20,30.5,14,0,4,0,15,15.5,4,4,4,0,0,4,4
20,39,14,4,4,4,20,17,4,4,4,24,20,4,4
20,11.5,8,4,4,4,2,17.25,4,4,4,31,14,4,2
20,39.625,20,4,4,0,18,20,4,4,4,30.625,20,4,0
19,38,14,3,4,4,16,18.5,4,4,4,32.125,19,4,4
20,25.375,14,0,4,4,0,0,4,4,4,0,0,0,0
20,39,17,4,4,4,18,20,4,4,2,33.25,12,4,4
20,30,14,0,0,0,13,15.75,0,0,0,0,11,4,0
20,40,16,4,4,4,18,20,4,4,4,38,18,4,4
20,33.5,14,4,4,4,19,13.5,0,4,4,24.25,13,4,4
2,29.125,14,0,0,0,17,16,0,4,4,0,8,0,0
19,38.5,19,4,4,4,19,19,0,4,4,34.75,20,4,4
20,39.625,16,4,4,4,15,17.25,4,4,4,16.5,18,4,4
20,37.5,14,4,0,0,16,20,4,4,4,27.25,16,4,4
7,31.5,14,0,0,0,11,16.75,0,2,4,0,12,2,2
20,39,16,4,4,4,14,19.25,0,0,0,21.75,18,4,4
20,42,16,4,4,4,17,19,4,4,4,31.75,11,4,4
2,29.625,14,4,2,4,16,19.5,4,2,2,14,16,2,4
20,7,18,4,0,0,0,0,0,0,0,23,0,0,0
20,41.5,20,4,4,4,17,19.5,4,4,4,24,13,4,4
0,2,0,0,0,0,0,0,0,0,0,0,14,4,4
19,38.5,19,4,4,4,16,18.5,4,4,4,28.5,20,4,4
20,35.5,16,4,4,4,20,18.5,4,4,4,5.5,15,4,4
20,36.375,16,4,0,0,17,20,4,4,4,0,0,0,0
20,39,14,4,4,4,15,18.5,4,4,4,10.5,14,4,4
2,22.625,14,0,4,0,17,17.25,4,4,2,24.75,6,4,4
20,36.5,18,0,4,3,18,18.5,3,4,4,12,20,4,4
2,34.25,14,4,4,4,17,16.5,0,4,4,15,20,4,4
20,9.5,0,0,0,0,16,18,4,4,2,28,16,4,4
20,37.25,20,4,4,4,18,20,4,4,4,40,14,4,4
20,35.5,14,0,0,0,9,5,0,4,4,0,13,2,4
20,34.875,14,4,4,4,0,0,4,4,0,0,0,0,0
20,39.5,19,4,4,4,16,20,0,0,0,26,16,4,2
20,30,18,3,0,4,14,0,4,4,4,0,15,4,2
20,38.5,14,4,0,0,20,20,0,0,0,32,20,4,4
20,37.5,0,4,4,0,17,15,4,4,4,23.75,15,4,4
20,38.75,18,4,4,4,20,20,4,4,4,38.5,20,4,4
20,40,20,4,4,4,20,20,4,4,4,36.5,19,4,4
20,42,20,4,4,0,20,20,4,4,0,26,20,4,4
20,29,0,4,4,4,19,6,4,4,4,36,19,4,4
20,39,14,4,4,4,17,17.5,4,4,4,24,16,4,4
20,39.5,16,4,4,4,18,16.5,4,4,4,29.75,20,4,4
20,39.5,20,4,4,4,17,20,4,4,4,27,14,2,2
20,38.625,20,4,4,0,18,18.5,4,4,4,29.25,18,4,4
20,35.25,14,4,4,4,19,18.5,4,4,4,30.75,16,4,4
20,41,20,4,4,4,17,20,4,4,4,20.75,10,0,0
19,33,14,4,4,0,17,20,0,2,4,24,14,2,0
20,42,20,4,4,4,20,20,4,4,4,37.5,16,4,4
20,38.375,20,4,4,4,20,19.75,0,4,4,33.5,20,4,4
20,30.5,14,4,4,4,17,0,4,4,4,0,0,0,0
20,28.5,14,4,4,0,14,19.5,4,4,4,32.5,15,4,4
20,41,16,4,4,4,19,20,4,4,4,31.5,19,4,4
20,42,14,4,4,4,17,20,4,4,4,34.125,20,4,4
20,40,14,4,4,0,16,0,0,4,4,1.75,4,0,0
20,16,0,0,0,0,13,17,4,2,4,6.5,17,4,0
20,37.875,14,4,4,4,18,19.75,0,0,0,24,20,0,0
20,42,14,4,4,4,18,15.5,4,4,4,0,15,4,4
20,40.5,14,4,4,4,18,19.5,0,0,0,30.5,13,4,4
20,35.5,16,0,4,4,18,14.5,4,4,4,23.625,16,4,2
20,39.75,0,0,0,0,15,12.5,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
20,35,14,4,4,4,16,17,4,4,4,28.5,14,4,4
20,4.5,0,0,0,0,17,0,2,4,2,0,0,0,0
20,37.25,14,4,4,4,20,19.5,4,4,4,35.25,14,4,4
20,42,20,4,4,4,19,20,4,4,4,35.75,16,4,4
20,40.25,20,4,0,0,16,15,4,4,4,25.25,20,4,4
20,38.5,16,4,4,4,19,19.5,0,4,4,33.5,19,4,4
20,41.5,10,4,0,4,19,20,0,4,4,22.5,16,4,4
20,25,8,0,0,0,14,10.5,0,0,0,11,15,0,4
20,41,16,4,4,4,20,18.25,4,4,4,33.75,20,4,4
20,42,16,4,4,4,20,20,4,4,4,39,20,4,4
20,10,0,0,0,0,7,0,0,0,0,0,0,0,0
20,37.5,8,4,4,4,18,20,4,2,4,27.5,18,4,4
20,33.5,14,0,0,0,0,0,0,0,0,0,0,0,0
20,38.25,14,4,4,4,18,18.5,4,4,4,24.25,19,4,2
19,31.5,14,4,0,0,0,0,0,0,0,0,17,0,0
20,20.5,0,0,0,0,0,0,0,0,0,11.25,20,0,0
20,40.125,16,4,4,4,19,19.5,4,4,4,33.75,20,4,4
20,39.5,14,4,4,4,19,20,4,4,4,36,20,4,4
20,36,16,4,4,4,17,19,4,4,4,31.75,14,4,4
20,37.75,14,4,4,4,18,18,0,0,0,30.25,11,4,4
20,39.75,16,4,4,4,20,20,4,4,4,28.75,0,0,0
19,35.125,20,4,4,4,17,18.5,0,4,0,3.5,16,0,0
20,41,18,4,4,4,18,19.75,4,4,4,26.25,14,4,4
19,41.25,14,4,0,4,18,17.5,4,4,4,27,15,0,2
20,42,14,4,4,4,19,20,4,4,4,32.5,16,4,4
20,41,14,4,4,4,20,18.75,4,4,4,24.125,20,4,4
20,39.5,8,4,4,4,20,18.5,0,4,4,10.5,12,4,0
20,0,14,4,4,4,19,20,0,4,4,31.75,20,4,4
20,42,14,4,4,4,18,19.5,0,4,4,28.25,20,4,4
0,29,0,0,0,0,0,0,0,0,0,28.25,0,0,0
20,29.5,14,4,4,4,11,18.5,4,4,4,29.25,19,4,4
20,37,14,0,0,0,19,19.5,0,0,0,28.25,20,2,2
20,39.125,18,4,4,2,18,10.5,4,4,4,33.875,18,4,4
20,5.5,14,0,0,0,6,0,0,0,0,0,17,0,0
2,41.25,14,4,0,0,14,14,0,0,0,11.75,11,0,0
20,40.5,20,4,4,4,18,12,4,4,4,5,13,4,4
20,15,14,0,4,3,16,16.75,4,2,4,40,16,4,4
20,25.5,14,0,2,3,14,16,2,4,2,6.5,19,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,41,14,3,3,0,10,15.5,0,0,0,0,20,0,0
20,41,18,4,4,4,19,20,4,4,4,40,20,4,4
20,41.5,14,4,4,4,17,20,4,4,4,31.5,16,4,4
20,41,20,4,4,4,20,20,4,4,4,40,20,4,4
20,42,14,4,4,3,20,20,4,4,4,35.5,20,4,4
20,35.25,12,4,4,0,10,15.5,0,0,0,0,19,4,2
20,34.375,0,4,3,3,0,0,0,0,0,0,0,0,0
20,12.5,20,4,4,4,17,20,4,4,4,33.5,16,2,4
20,36.5,18,4,4,4,15,13,0,4,4,16,16,2,4
20,39,19,4,4,4,17,19.5,4,4,4,17.5,11,0,4
20,34.5,14,4,4,4,15,18.5,4,4,4,2,20,2,0
20,42,20,4,4,4,20,20,4,4,4,38,20,4,4
20,40.875,16,4,4,4,19,20,4,4,4,20.25,20,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,33.5,0,0,0,0,12,15,0,0,0,0,13,0,0
20,33.5,0,4,0,0,12,20,4,4,4,0,20,4,4
20,39.5,14,4,4,4,19,18.5,4,4,4,30.875,16,4,4
20,39,20,4,4,4,17,19.5,4,4,4,29.625,16,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,41,18,4,4,4,19,18.5,4,4,4,2.5,20,4,4
20,38.75,14,4,4,4,18,19,4,4,4,31.75,19,4,4
20,38.125,20,0,4,0,20,15.5,4,4,4,30.75,12,4,4
20,26.5,14,4,0,4,18,19.25,4,4,4,29,12,2,4
20,40.5,8,4,4,4,18,19,4,4,4,33,19,4,4
20,38.5,20,4,4,4,18,17.5,0,0,0,35.25,17,0,0
20,13,0,0,4,0,14,16.5,4,4,4,20,12,4,4
0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
20,30.5,20,4,4,4,0,0,4,0,0,5.25,17,4,4
20,36.875,16,4,4,4,17,18.5,4,4,4,30.875,16,4,4
2,35.5,16,0,0,0,17,20,3,4,0,21.75,19,0,4
0,15.25,16,0,0,0,17,15,4,0,0,15.4,12,0,0
20,32.5,20,0,0,0,18,17.5,0,0,0,23,14,0,0
20,37.375,16,4,4,4,19,20,4,4,4,31,20,4,4
0,35.625,14,4,4,4,18,18.5,4,4,4,31,20,4,4
20,25,14,4,4,4,15,14,4,4,4,0,7,4,2
20,29.5,0,0,4,0,17,19.5,4,2,4,10.25,14,0,0
20,41,20,4,4,4,19,20,4,4,4,35.25,16,4,4
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
20,40,14,4,4,4,15,20,0,4,0,34.5,20,2,2
20,10.5,0,0,4,0,15,0,4,4,4,10.15,16,0,2
20,38.25,14,4,4,4,19,20,4,4,4,27.25,20,4,4
20,37,18,0,0,0,16,15,0,4,4,0,16,0,2
20,26,14,0,0,0,0,0,0,0,0,26,13,4,4
0,7,0,0,0,0,11,0,0,0,0,0,0,0,0
20,11,14,4,4,4,19,19.75,4,4,4,33.25,0,4,4
20,37,14,0,4,4,16,15,3,0,0,39.5,16,4,4
20,37.5,14,0,4,0,12,20,0,4,4,10.45,16,4,4
0,21.75,0,0,4,0,0,0,0,0,0,0,0,0,0
20,30.375,8,4,0,0,15,17,4,4,4,20.5,17,4,4
20,40.375,20,4,4,4,19,17.5,4,4,4,31,20,4,4
20,40,20,4,4,4,19,20,4,4,4,38.5,20,4,4
20,5,16,4,0,0,12,20,0,0,0,0,19,0,0
20,39.25,14,4,4,4,18,20,4,4,4,27.75,17,4,4
19,39.5,16,4,4,4,19,19.5,4,4,4,0,17,4,4
0,0,14,0,0,0,0,0,0,0,0,4.25,0,0,0
20,36.625,14,4,3,4,17,14,0,4,0,21.75,16,4,4
20,28.5,14,4,4,0,17,20,0,0,0,11.35,16,0,0
19,40.5,16,4,4,4,19,20,4,4,4,27.25,20,0,0
