Lab 1 [Total Pts: 20 Score] |1882989,Homework 1 Final Grade [Total Pts: 40 Score] |1995600,Lab 2 [Total Pts: 20 Score] |1883408,Chapter 2 - Checkpoint 3 [Total Pts: 4 Score] |1936678,Chapter 2 - Checkpoint 4 [Total Pts: 4 Score] |1936680,Chapter 2 - Checkpoint 5 [Total Pts: 4 Score] |1936681,Quiz 1 [Total Pts: 20 Score] |1937228,Lab 3 [Total Pts: 20 Score] |1883412,Chapter 3 - Checkpoint 1 [Total Pts: 4 Score] |1936189,Chapter 3 - Checkpoint 2 [Total Pts: 4 Score] |1938812,Chapter 3 - Checkpoint 3 [Total Pts: 4 Score] |1938813,Homework 2 final grade [Total Pts: 40 Score] |2005601,Lab 4 [Total Pts: 20 Score] |1883421,Chapter 3 - Checkpoint 4 [Total Pts: 4 Score] |1938815,Chapter 3 - Checkpoint 5 [Total Pts: 4 Score] |1938818,Quiz 2 [Total Pts: 20 Score] |1962628,Lab 5 [Total Pts: 20 Score] |1883422,Chapter 4 - Checkpoint 1 [Total Pts: 4 Score] |1945790,Chapter 4 - Checkpoint 2 [Total Pts: 4 Score] |1945791,Chapter 4 - Checkpoint 3 [Total Pts: 4 Score] |1945793,Homework 3 final grade [Total Pts: 40 Score] |2008446,Lab 6 [Total Pts: 20 Score] |1883423,Chapter 4 - Checkpoint 4 [Total Pts: 4 Score] |1949674,Chapter 4 - Checkpoint 5 [Total Pts: 4 Score] |1949678,Chapter 4 - Checkpoint 6 [Total Pts: 4 Score] |1949679,Quiz 3 [Total Pts: 20 Score] |1995022,Lab 7 [Total Pts: 20 Score] |1883429,Chapter 4 - Checkpoint 7 [Total Pts: 4 Score] |1994614,Chapter 4 - Checkpoint 8 [Total Pts: 4 Score] |1994620,Chapter 4 - Checkpoint 9 [Total Pts: 4 Score] |1994622,HOMEWORK 4 FINAL GRADE [Total Pts: up to 40 Score] |2017095,Lab 8 [Total Pts: 20 Score] |1883432,Chapter 5 - Checkpoint 1 [Total Pts: 4 Score] |1994626,Quiz 4 [Total Pts: 20 Score] |2001868,Lab 9 [Total Pts: 20 Score] |1883435,Chapter 2 - Checkpoint 1 [Total Pts: 4 Score] |1931281,Chapter 2 - Checkpoint 2 [Total Pts: 4 Score] |1931124,Chapter 5 - Checkpoint 2 [Total Pts: 4 Score] |1994627,Chapter 5 - Checkpoint 3 [Total Pts: 4 Score] |1994628,Homework 5 Final Grade [Total Pts: 40 Score] |2016174,Lab 10 [Total Pts: 20 Score] |1883436,Project1 [Total Pts: 100 Score] |1996715,Lab 11 [Total Pts: 20 Score] |1883437,Quiz 5 [Total Pts: 20 Score] |2009890,Chapter 7 - Checkpoint 1 [Total Pts: 4 Score] |1999578,Homework 6 [Total Pts: 40 Score] |1884931,Extra points [Total Pts: 0 Score] |1934963,Lab 12 [Total Pts: 20 Score] |1883438,Chapter 7 - Checkpoint 2 [Total Pts: 4 Score] |1999581,Quiz 6 [Total Pts: 20 Score] |2009024,Lab 13 Code [Total Pts: 10 Score] |2023050,Lab 13 PDF [Total Pts: 10 Score] |1883440,Chapter 7 - Checkpoint 3 [Total Pts: 4 Score] |2008962,Homework 7 [Total Pts: 40 Score] |1884933,Lab 14 [Total Pts: 20 Score] |1883441,Project 2 [Total Pts: 100 Score] |2023051,Quiz 7 [Total Pts: 20 Score] |2009027,"Final Grade out of 1000 [Total Pts: up to 1,000 Score] |1995780"
20,41,14,4,4,4,16,18,4,4,4,20.75,16,4,4,18,13.4,4,4,0,40,17,4,4,4,9.66666,20,4,2,4,40,18,4,10,18,2,4,4,4,30,20,100,18.5,15.9,4,35.25,5,20,4,20,10,10,4,40,20,100,11.5,902.96666
20,4,0,0,0,0,18,0,0,2,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,2,2,2,0,0,0,0,18.5,0,4,0,0,0,0,99.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194
20,34.25,14,4,0,0,15,20,0,0,0,0,15,0,0,9,12.6,0,0,0,40,16,0,0,0,0,18,0,0,0,29,7,0,7,14.5,4,4,0,0,38.5,10,94.5,15,4.9,0,39.25,0,20,4,15,10,10,4,39,12,100,12,716.5
20,14,14,4,4,4,18,18.5,4,4,4,28.75,16,2,4,18,16,4,4,2,40,17,4,4,4,12.16666,20,4,2,4,39,17,4,9,18,4,4,4,4,38.5,10,97.5,0,9.7,4,40,4,15.5,4,8,10,10,4,40,16,100,0.5,834.11666
20,38.625,18,4,4,4,20,20,4,4,4,35.5,20,4,4,20,16.5,3,4,2,40,20,3,3,4,17.83333,19.5,2,2,4,33,16,4,11,18,4,4,4,4,39,19,100,15,9.8,0,35.75,0,20,4,14,10,10,4,40,20,100,14.5,923.00833
2,34.5,8,4,4,4,18,20,4,4,4,22.75,14,4,4,16,12,4,4,4,40,20,0,4,4,10,18.5,4,4,4,38,15,4,6,15.75,4,4,4,4,33.5,20,100,12.5,6.7,4,38.25,10,13,4,20,10,9,4,40,18,100,1.5,843.95
20,9.5,0,0,0,0,0,0,0,0,0,28.75,13,4,4,20,13.3,0,0,0,16,19,4,4,0,11,18,0,0,0,34,0,4,11,0,0,4,4,4,37,0,105,13,14.6,4,0,40,0,0,0,0,0,0,0,0,0,0,459.15
20,34.75,12,4,4,4,14,16,4,4,4,25.5,13,2,2,16,0,2,4,4,35,16,4,4,2,7,12.5,2,2,2,22,9,4,9.5,13.5,4,4,4,4,31,10,68,10,6.5,4,39,5,16.5,4,6,10,9.5,4,40,0,100,0,713.25
20,37.5,0,4,0,4,14,0,4,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.5
20,35.875,14,0,0,0,19,19.5,4,4,4,23.75,8,4,4,16,20,4,4,4,35,19,4,4,4,11.66666,20,4,4,4,37,16,4,10,18,4,4,4,4,21.5,10,96.5,15,15,4,20.25,0,20,4,14,10,9.5,4,39,8,100,8.5,823.04166
20,30.5,14,0,4,0,15,15.5,4,4,4,0,0,4,4,0,0,2,0,0,0,17,4,4,0,12.5,0,4,4,2,0,8,4,10,0,4,4,4,4,24.75,0,15.5,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,266.75
20,39,14,4,4,4,20,17,4,4,4,24,20,4,4,17,14,4,4,4,40,18,4,4,2,10.66666,19,4,4,4,32,13,4,11,17,4,4,4,4,16.25,15,104,10.5,14.6,4,32.5,0,15.5,4,14.5,10,10,4,40,13,100,7,851.51666
20,11.5,8,4,4,4,2,17.25,4,4,4,31,14,4,2,20,10.5,4,4,4,40,19,4,4,4,7,20,4,4,2,39,14,4,17,14.5,4,4,4,4,32,15,84.5,16.5,15.8,4,28,0,20,4,19,0,0,2,39,18,100,11,802.55
20,39.625,20,4,4,0,18,20,4,4,4,30.625,20,4,0,20,18.5,4,4,2,40,20,4,4,4,15.33333,19.5,4,4,4,39,20,4,18,17.5,4,4,4,4,39.5,20,104.5,18,17,4,39.5,0,20,4,18,10,10,4,40,18,100,12,957.58333
19,38,14,3,4,4,16,18.5,4,4,4,32.125,19,4,4,18,14.8,2,4,3,40,15,4,2,3,14.16666,19.5,4,3,2,33,0,4,15,0,4,4,0,0,0,20,100,16,14.4,2,36.75,15,20,4,19,10,10,4,0,0,100,0,772.24166
20,25.375,14,0,4,4,0,0,4,4,4,0,0,0,0,0,0,0,0,0,40,20,4,4,4,0,20,4,4,0,26,13,0,8,16,0,0,0,0,34.5,0,56,0,1,0,30.75,0,15,0,13,10,9.5,4,40,10,100,0,572.125
20,39,17,4,4,4,18,20,4,4,2,33.25,12,4,4,19,16,3,4,3,36,19,2,3,2,13,20,4,4,3,35,18,4,5,18,4,4,4,4,39.5,20,105,20,10.2,4,38.5,0,15.5,4,8,10,10,2,40,20,75,6.5,864.45
20,30,14,0,0,0,13,15.75,0,0,0,0,11,4,0,15,6.4,2,4,0,11,14,0,0,0,0,17.5,0,0,0,0,0,0,11,13.5,0,3,0,0,13,10,100,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,336.15
20,40,16,4,4,4,18,20,4,4,4,38,18,4,4,16,15,4,4,2,36,20,4,4,4,15.83333,19.5,4,4,4,40,16,4,14,19.5,4,4,4,4,36,20,110,15,15.8,4,40,10,0,4,15,10,10,4,40,19,100,4,929.63333
20,33.5,14,4,4,4,19,13.5,0,4,4,24.25,13,4,4,19,17.7,4,4,2,20,17,4,4,4,15.16666,18,4,4,2,36,15,4,10,20,4,2,4,4,38,15,105,13,9.8,4,40,0,0,4,10,10,10,2,40,20,100,7,835.91666
2,29.125,14,0,0,0,17,16,0,4,4,0,8,0,0,0,14,2,4,2,4,0,0,0,0,0,17,0,0,0,0,13,0,6,0,4,4,0,0,21,10,79,12,0,0,38,0,20,0,0,10,10,0,0,0,0,0,364.125
19,38.5,19,4,4,4,19,19,0,4,4,34.75,20,4,4,20,18,4,4,2,40,20,4,4,3.5,13.66666,0,4,4,2,39,17,4,12,17,4,4,4,4,0,15,80,12,15.5,4,37,4,15.5,4,18,0,0,4,0,0,100,0,754.41666
20,39.625,16,4,4,4,15,17.25,4,4,4,16.5,18,4,4,10,11,4,4,4,31,17,4,4,4,10.5,17.5,4,4,2,29,14,4,8,15.5,4,4,4,4,22,0,97,12,5,4,26.25,0,0,4,0,0,0,4,40,18,100,7.5,731.625
20,37.5,14,4,0,0,16,20,4,4,4,27.25,16,4,4,16,16,4,4,4,40,19,4,4,4,10,19.5,4,4,4,38,18,4,12,20,4,4,4,4,35,10,100,18,9.1,4,35.5,4,15.5,4,6,10,9.5,4,40,16,100,6.5,871.35
7,31.5,14,0,0,0,11,16.75,0,2,4,0,12,2,2,6,7,4,4,2,26,14,4,4,4,7,20,4,2,2,14.5,15,4,5,16,4,4,4,4,37,19,91,15,3.5,0,27,0,19.5,0,2.5,10,2,0,0,0,0,3.5,512.75
20,39,16,4,4,4,14,19.25,0,0,0,21.75,18,4,4,0,18,0,0,0,0,19,4,3,4,4,0,2,2,2,40,18,2,9,16,4,4,4,2,37,10,97,0,5,0,0,4,20,0,0,0,0,0,20,7,91,0,621
20,42,16,4,4,4,17,19,4,4,4,31.75,11,4,4,19,13.8,4,4,4,40,20,4,4,4,11.83333,20,4,4,4,39,20,4,17,20,4,4,4,2,32,20,110,20,17.8,4,40,4,20,4,20,10,10,4,40,14,110,9,957.18333
2,29.625,14,4,2,4,16,19.5,4,2,2,14,16,2,4,10,16,4,4,2,40,19,4,4,4,8.66666,20,4,4,4,38,15.5,4,8,17,0,4,4,4,32.75,20,100,16,8,4,40,10,18.5,4,3.5,10,10,4,40,14,100,0.5,817.54166
20,7,18,4,0,0,0,0,0,0,0,23,0,0,0,8,0,0,0,0,31,0,0,0,0,6,0,2,2,2,0,0,0,6,9,4,4,4,4,0,0,0,0,7.5,4,0,0,20,4,3,0,7,0,19,16,40,0,279.5
20,41.5,20,4,4,4,17,19.5,4,4,4,24,13,4,4,19,12,4,4,2,40,20,4,4,4,11.66666,20,4,4,4,33.5,19,4,10,20,2,4,4,4,38.5,0,52,18,8.4,4,40,0,15.5,4,9.5,10,10,4,40,16,100,2.5,816.56666
0,2,0,0,0,0,0,0,0,0,0,0,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
19,38.5,19,4,4,4,16,18.5,4,4,4,28.5,20,4,4,16,10.4,4,4,2,40,18,4,4,3,13.5,12.5,4,4,4,33,18,4,10,17,4,4,4,4,32.875,15,100,15,15.5,4,36.75,4,13,4,11,10,10,4,40,4,100,11.5,868.525
20,35.5,16,4,4,4,20,18.5,4,4,4,5.5,15,4,4,19,16,4,4,4,40,18,4,4,4,12.83333,15.5,4,4,2,34,16,4,9.5,20,4,4,4,4,35.5,20,100,13,12.5,4,0,0,15.5,4,7,10,10,4,40,18,35,8,758.83333
20,36.375,16,4,0,0,17,20,4,4,4,0,0,0,0,20,0,2,4,2,0,0,0,0,0,13.5,13.5,2,4,2,0,14,0,10,0,4,4,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,345.375
20,39,14,4,4,4,15,18.5,4,4,4,10.5,14,4,4,17,6.5,4,4,4,40,16,4,4,4,13,12,4,4,4,37.5,18,4,12,18.5,0,4,4,4,29,19,100,9,17.1,4,32.5,0,20,4,16,10,10,4,40,20,100,11,856.1
2,22.625,14,0,4,0,17,17.25,4,4,2,24.75,6,4,4,8,0,4,4,2,40,17,3,3,0,0,19.5,4,2,3,24,11,4,7,17.5,4,4,4,4,24.75,10,82,12,10.4,4,28,2,13.5,0,9.5,10,10,0,40,20,100,11.5,702.275
20,36.5,18,0,4,3,18,18.5,3,4,4,12,20,4,4,17,14.8,3,4,2,0,0,0,0,0,12.16666,18,0,0,0,38,14,0,13,18,0,4,0,0,0,0,104,18,6.1,0,30,0,19.5,0,18,10,10,0,40,14,40,14,655.56666
2,34.25,14,4,4,4,17,16.5,0,4,4,15,20,4,4,13,14.1,4,4,2,36,18,4,4,3,13.66666,18.5,4,4,4,26.5,11.5,4,9,16,4,4,4,4,35,15,93,12,11.8,4,36.5,0,19.5,4,13,0,0,4,30,10,100,14.5,780.81666
20,9.5,0,0,0,0,16,18,4,4,2,28,16,4,4,17,11.5,2,4,4,40,18,4,2,0,15.16666,15.5,4,2,2,33,16,4,15,13.5,4,4,4,3,0,10,100,0,13.5,2,38.5,10,19,4,20,10,10,4,0,5,110,3,727.16666
20,37.25,20,4,4,4,18,20,4,4,4,40,14,4,4,19,15.6,0,0,0,38,17,4,4,3,14.5,18,4,4,4,40,16,4,13,20,4,4,4,4,37,15,105,18,18.8,4,38.75,5,19.5,4,18,10,10,4,40,17,100,15.5,939.9
20,35.5,14,0,0,0,9,5,0,4,4,0,13,2,4,11,7.4,4,4,2,16,12,4,2,0,7.33333,17.5,4,4,0,17.5,15.5,2,14,14,4,4,4,4,36,20,93.5,14.5,14.1,0,27,5,20,0,4.5,0,0,0,0,0,0,0,519.33333
20,34.875,14,4,4,4,0,0,4,4,0,0,0,0,0,13,0,4,4,2,20,0,4,0,0,9,0,4,4,2,21.5,6,0,8,16,4,4,0,0,0,0,53,16.5,3.5,0,14,0,0,0,0,0,0,0,0,0,0,0,301.375
20,39.5,19,4,4,4,16,20,0,0,0,26,16,4,2,13,10.8,4,4,2,15,18,4,4,3,9.66666,13,4,4,2,38,20,0,11,17.5,4,4,4,4,32,19,96,15,11,4,39.5,0,16,4,10.5,10,10,4,40,16,100,0,819.46666
20,30,18,3,0,4,14,0,4,4,4,0,15,4,2,12,2,4,4,4,40,18,4,4,0,9.5,17.5,4,2,0,34,18,4,10,18,4,4,4,4,35.25,10,104.5,18,4.2,0,36.75,0,20,4,8,10,10,4,0,12,100,11,737.2
20,38.5,14,4,0,0,20,20,0,0,0,32,20,4,4,20,19.2,4,4,4,40,19,4,4,4,13.33333,13,4,4,4,40,17,4,15,17.5,4,2,4,4,36,20,105,16,17,4,40,0,15.5,4,17.5,10,10,4,20,18,100,0,886.53333
20,37.5,0,4,4,0,17,15,4,4,4,23.75,15,4,4,17,17.5,2,4,2,40,19,4,4,2,10.6,18.5,4,2,4,27,10,4,11,20,4,4,4,4,0,0,77,18,5.6,4,34,0,10.5,4,0,10,10,4,40,20,100,7,743.95
20,38.75,18,4,4,4,20,20,4,4,4,38.5,20,4,4,19,18,4,4,4,40,20,4,4,4,20,20,4,4,4,37,20,4,19,19,4,4,4,4,38,20,100,20,17,4,37,44,19,4,18.5,0,10,0,40,17,100,4,992.75
20,40,20,4,4,4,20,20,4,4,4,36.5,19,4,4,17,19.2,4,4,4,40,19,4,4,4,13.66666,20,4,4,4,39,20,4,18,16.5,4,4,4,4,38,15,100,12,18.1,4,38.5,4,20,4,20,10,10,4,39,17,100,12,956.46666
20,42,20,4,4,0,20,20,4,4,0,26,20,4,4,19,16.2,4,4,2,40,19,4,4,2,11.5,20,0,0,0,37,18,4,14,16,4,4,4,4,36,10,100,13,12.8,4,31,4,16,4,16,10,10,4,40,8,91,0,857.5
20,29,0,4,4,4,19,6,4,4,4,36,19,4,4,11,0,4,4,4,20,20,4,4,4,8.5,0,4,4,2,0,16,4,10,19.5,4,4,4,4,19.6,10,0,16,0,4,0,5,0,4,0,0,0,4,0,0,0,0,382.6
20,39,14,4,4,4,17,17.5,4,4,4,24,16,4,4,16,16,4,4,4,34,17,4,4,4,13.33333,19,4,4,4,32,11,4,9,0,4,0,4,4,28,5,97.5,12,14.7,4,30,4,12.5,4,13,10,10,4,40,14,100,9.5,816.03333
20,39.5,16,4,4,4,18,16.5,4,4,4,29.75,20,4,4,20,16.5,2,4,4,35,19.5,4,4,4,13.5,18,4,4,4,40,16,4,18,19,4,4,4,4,39,15,104.5,9,13.5,4,40,0,13.5,4,13,10,10,9,40,16,100,0,906.75
20,39.5,20,4,4,4,17,20,4,4,4,27,14,2,2,14,19,4,4,4,40,18,4,4,2,11.33333,18.5,4,4,4,37,20,4,12,17.5,4,4,4,4,39,10,100,16,7.7,4,39.75,4,20,4,4.5,10,10,4,0,0,100,0,824.78333
20,38.625,20,4,4,0,18,18.5,4,4,4,29.25,18,4,4,20,20,4,4,2,40,19,4,4,2,15.16666,16,4,4,4,0,0,0,10,15.5,4,4,4,4,31.5,19,0,13,9.8,4,35.75,0,20,4,19.5,10,10,0,40,16,110,8,749.59166
20,35.25,14,4,4,4,19,18.5,4,4,4,30.75,16,4,4,19,12,4,4,4,40,19,4,4,4,14.16666,19.5,4,4,4,33,16,4,11,20,4,4,4,4,35.5,10,105,12,13,4,40,4,15.5,4,9,10,10,4,40,16,100,8.5,890.66666
20,41,20,4,4,4,17,20,4,4,4,20.75,10,0,0,18,16.5,3,4,2,40,19,4,2,0,13,11,4,2,2,37,18,4,10,16.5,4,4,0,0,28.75,10,100,15,11.9,4,31,0,18.5,4,12.5,10,8.5,0,20,19,100,10,814.9
19,33,14,4,4,0,17,20,0,2,4,24,14,2,0,16,8,4,4,2,34,17,4,4,4,9.83333,12,0,0,0,27,5,4,7.5,11.5,4,4,2,2,27,10,57,9,7,4,16.25,0,9.5,4,8.5,0,10,0,40,16,100,9,675.08333
20,42,20,4,4,4,20,20,4,4,4,37.5,16,4,4,20,20,4,4,4,40,20,4,4,4,13.16666,20,4,4,4,39,20,4,18,20,4,4,4,4,37.5,10,100,14.5,16.6,4,40,4,20,4,14,10,10,4,40,18,110,0,955.26666
20,38.375,20,4,4,4,20,19.75,0,4,4,33.5,20,4,4,20,15,4,4,2,40,19,4,2,0,15.5,18,4,4,2,31,20,0,12,17,4,4,0,0,0,10,100,15.5,16.5,0,34,0,15.5,0,20,10,10,4,40,16,100,9,846.625
20,30.5,14,4,4,4,17,0,4,4,4,0,0,0,0,18,0,0,0,0,40,10,0,0,0,9,9.5,0,0,0,8,0,0,8,0,4,4,0,0,36.5,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.5
20,28.5,14,4,4,0,14,19.5,4,4,4,32.5,15,4,4,0,15,4,4,2,37,20,4,4,4,6.16666,19,4,4,2,18.5,17.5,4,5,17,4,4,4,0,27.75,10,27.5,16,4,4,6.5,0,15.5,4,6.5,10,9.5,4,34,12,100,7,677.91666
20,41,16,4,4,4,19,20,4,4,4,31.5,19,4,4,20,20,4,4,4,40,20,4,4,4,13.66666,20,4,4,2,37,20,4,15,0,4,4,4,4,39,20,110,15,16,4,40,0,18.5,4,11,10,10,4,40,19,100,0,923.66666
20,42,14,4,4,4,17,20,4,4,4,34.125,20,4,4,20,20,4,4,4,40,20,4,4,4,14.5,20,4,4,4,40,20,4,18,20,4,4,4,4,40,20,97,16,17.3,4,40,4,20,4,19.5,10,10,4,40,20,100,10.5,968.925
20,40,14,4,4,0,16,0,0,4,4,1.75,4,0,0,19,18,4,4,4,20,0,4,4,4,11.5,0,4,4,4,37,0,4,10,0,4,4,4,4,35,19,104.5,0,0,4,39,0,20,4,3,0,0,4,39,13,60,0,627.75
20,16,0,0,0,0,13,17,4,2,4,6.5,17,4,0,14,10.8,3,4,2,38,16,4,3,2,8.5,16.5,4,2,3,17.75,9,2,7,13.5,4,4,0,2,38,20,80,12.5,6.7,4,37.75,10,18.5,4,6.5,10,9.5,2,39,20,100,6,723
20,37.875,14,4,4,4,18,19.75,0,0,0,24,20,0,0,13,18,0,0,0,40,18,0,0,0,11,20,0,0,0,28,18,0,10,17.5,4,4,4,4,34.5,20,97.5,16,14.2,4,35.25,0,19.5,4,6,10,10,4,39,16,100,0,810.075
20,42,14,4,4,4,18,15.5,4,4,4,0,15,4,4,10,11.3,4,4,2,0,13,4,4,4,11.5,17.5,4,4,4,35,14,4,10,17.5,4,4,4,4,28.5,20,100,18,12.5,4,8.5,9,20,4,4,10,9,4,39,14,100,6.5,766.3
20,40.5,14,4,4,4,18,19.5,0,0,0,30.5,13,4,4,17,16,4,4,0,36,19,4,4,4,15.83333,18,4,4,4,40,20,4,14,19.5,4,4,4,4,40,19,109.5,18,14.8,4,40,0,20,4,17,0,0,4,39,19,100,10,906.13333
20,35.5,16,0,4,4,18,14.5,4,4,4,23.625,16,4,2,17,10,4,4,4,40,18,4,4,2,14.66666,12.5,4,4,4,21.5,9,4,9,19.5,4,4,4,4,33.75,20,94.5,13,10.5,4,36.5,0,14.5,4,15.5,10,10,4,40,20,100,13,843.04166
20,39.75,0,0,0,0,15,12.5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,113.75
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
20,35,14,4,4,4,16,17,4,4,4,28.5,14,4,4,13,6,4,4,2,40,17,4,4,3.5,12.5,17.5,4,4,4,30.5,16,4,8,18,2,2,4,4,30,10,36.5,16,0,4,39,0,15.5,4,3,10,9.5,2,40,20,100,2,746
20,4.5,0,0,0,0,17,0,2,4,2,0,0,0,0,15,12,0,0,0,40,18,2,2,0,10,0,2,2,2,0,20,0,6,16,0,4,2,2,0,20,13.5,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,256
20,37.25,14,4,4,4,20,19.5,4,4,4,35.25,14,4,4,19,16,4,4,2,40,18,4,4,4,12.66666,20,4,4,4,39,19,4,14,20,4,4,4,4,38.5,20,99.5,18,19.8,4,40,4,15.5,4,20,10,10,4,40,20,100,17,952.96666
20,42,20,4,4,4,19,20,4,4,4,35.75,16,4,4,19,20,4,4,4,40,19,4,4,4,14.16666,20,4,4,4,39,16,4,18,18,4,4,4,4,39,15,100,16,16,4,40,4,20,4,14,10,9.5,4,40,16,100,14.5,954.91666
20,40.25,20,4,0,0,16,15,4,4,4,25.25,20,4,4,13,2.9,4,4,2,36,20,4,4,3,10.66666,15.5,4,4,4,38,8,4,11,15.5,2,4,4,4,35,10,105,13,14,4,39.25,24,20,0,17,10,9.5,4,40,16,110,10.5,888.31666
20,38.5,16,4,4,4,19,19.5,0,4,4,33.5,19,4,4,20,17,4,4,2,40,19,4,4,2,14.83333,20,4,4,2,39,18,4,10,17.5,4,4,4,4,34,10,99.5,11,9.9,4,40,0,15.5,4,18,10,10,4,40,16,100,16.5,906.23333
20,41.5,10,4,0,4,19,20,0,4,4,22.5,16,4,4,17,16,4,4,4,36,18,4,4,2,8.5,18,4,4,4,32,0,4,9,17.25,2,4,4,4,26.75,10,99.5,4,12,4,37.5,0,19,0,0,0,0,0,0,0,65,0,679.5
20,25,8,0,0,0,14,10.5,0,0,0,11,15,0,4,7,15.2,0,0,0,37,20,0,0,0,8.5,20,2,0,0,6,17,0,6.5,17.5,4,4,0,0,35.5,20,76.5,12.5,5,4,28.75,0,15,0,2,10,9.5,0,30,10,94.75,2.5,633.2
20,41,16,4,4,4,20,18.25,4,4,4,33.75,20,4,4,20,17.5,4,4,4,40,19,4,4,4,14.16666,17.5,4,4,4,40,16,4,17,18.5,4,4,4,4,38,19,110,15,15,4,40,4,15.5,4,18.5,10,10,4,39,20,100,4,951.66666
20,42,16,4,4,4,20,20,4,4,4,39,20,4,4,20,20,4,4,4,40,20,4,4,4,19.3,20,4,4,4,40,20,4,18,20,4,4,4,4,40,20,100,15,16.6,4,40,9,20,4,20,10,10,4,40,20,100,8.5,988.4
20,10,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
20,37.5,8,4,4,4,18,20,4,2,4,27.5,18,4,4,18,12,2,4,3,40,19,4,3,4,11,17.5,4,4,3,38,17,4,9,15.5,4,4,4,4,33.75,10,105,16.5,9,4,40,4,15.5,4,5.5,10,7,0,39,14,100,5,854.25
