Lab 1 [Total Pts: 20 Score] |1882989,Homework 1 Final Grade [Total Pts: 40 Score] |1995600,Lab 2 [Total Pts: 20 Score] |1883408,Chapter 2 - Checkpoint 3 [Total Pts: 4 Score] |1936678,Chapter 2 - Checkpoint 4 [Total Pts: 4 Score] |1936680,Chapter 2 - Checkpoint 5 [Total Pts: 4 Score] |1936681,Quiz 1 [Total Pts: 20 Score] |1937228,Lab 3 [Total Pts: 20 Score] |1883412,Chapter 3 - Checkpoint 1 [Total Pts: 4 Score] |1936189,Chapter 3 - Checkpoint 2 [Total Pts: 4 Score] |1938812,Chapter 3 - Checkpoint 3 [Total Pts: 4 Score] |1938813,Homework 2 final grade [Total Pts: 40 Score] |2005601,Lab 4 [Total Pts: 20 Score] |1883421,Chapter 3 - Checkpoint 4 [Total Pts: 4 Score] |1938815,Chapter 3 - Checkpoint 5 [Total Pts: 4 Score] |1938818,Quiz 2 [Total Pts: 20 Score] |1962628,Lab 5 [Total Pts: 20 Score] |1883422,Chapter 4 - Checkpoint 1 [Total Pts: 4 Score] |1945790,Chapter 4 - Checkpoint 2 [Total Pts: 4 Score] |1945791,Chapter 4 - Checkpoint 3 [Total Pts: 4 Score] |1945793,Homework 3 final grade [Total Pts: 40 Score] |2008446,Lab 6 [Total Pts: 20 Score] |1883423,Chapter 4 - Checkpoint 4 [Total Pts: 4 Score] |1949674,Chapter 4 - Checkpoint 5 [Total Pts: 4 Score] |1949678,Chapter 4 - Checkpoint 6 [Total Pts: 4 Score] |1949679,Quiz 3 [Total Pts: 20 Score] |1995022,Lab 7 [Total Pts: 20 Score] |1883429,Chapter 4 - Checkpoint 7 [Total Pts: 4 Score] |1994614,Chapter 4 - Checkpoint 8 [Total Pts: 4 Score] |1994620,Chapter 4 - Checkpoint 9 [Total Pts: 4 Score] |1994622,HOMEWORK 4 FINAL GRADE [Total Pts: up to 40 Score] |2017095,Lab 8 [Total Pts: 20 Score] |1883432,Chapter 5 - Checkpoint 1 [Total Pts: 4 Score] |1994626,Quiz 4 [Total Pts: 20 Score] |2001868,Lab 9 [Total Pts: 20 Score] |1883435,Chapter 2 - Checkpoint 1 [Total Pts: 4 Score] |1931281,Chapter 2 - Checkpoint 2 [Total Pts: 4 Score] |1931124,Chapter 5 - Checkpoint 2 [Total Pts: 4 Score] |1994627,Chapter 5 - Checkpoint 3 [Total Pts: 4 Score] |1994628,Homework 5 Final Grade [Total Pts: 40 Score] |2016174,Lab 10 [Total Pts: 20 Score] |1883436,Project1 [Total Pts: 100 Score] |1996715,Lab 11 [Total Pts: 20 Score] |1883437,Quiz 5 [Total Pts: 20 Score] |2009890,Chapter 7 - Checkpoint 1 [Total Pts: 4 Score] |1999578,Homework 6 [Total Pts: 40 Score] |1884931,Extra points [Total Pts: 0 Score] |1934963,Lab 12 [Total Pts: 20 Score] |1883438,Chapter 7 - Checkpoint 2 [Total Pts: 4 Score] |1999581,Quiz 6 [Total Pts: 20 Score] |2009024,Lab 13 Code [Total Pts: 10 Score] |2023050,Lab 13 PDF [Total Pts: 10 Score] |1883440,Chapter 7 - Checkpoint 3 [Total Pts: 4 Score] |2008962,Homework 7 [Total Pts: 40 Score] |1884933,Lab 14 [Total Pts: 20 Score] |1883441,Project 2 [Total Pts: 100 Score] |2023051,Quiz 7 [Total Pts: 20 Score] |2009027,"Final Grade out of 1000 [Total Pts: up to 1,000 Score] |1995780"
20,33.5,14,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,40,19,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,82,0,0,0,0,0,10.5,0,14,0,0,0,40,19,70,0,421
20,38.25,14,4,4,4,18,18.5,4,4,4,24.25,19,4,2,17,14,4,4,2,40,19,4,4,0,6.5,8.5,4,4,4,29,13,4,7,14.5,4,4,4,4,35.5,10,100,18,8.2,4,28.5,4,10,4,10,10,7,4,40,19,100,0,817.7
19,31.5,14,4,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6.5,15.5,4,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.5
20,20.5,0,0,0,0,0,0,0,0,0,11.25,20,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,5,15,4,4,0,0,25.75,0,54,0,0,0,33,0,0,0,0,0,0,0,0,0,100,0,361.5
20,40.125,16,4,4,4,19,19.5,4,4,4,33.75,20,4,4,20,14,4,4,4,40,20,4,4,4,11.5,0,4,4,4,37,20,4,12,16.5,4,4,4,4,33.75,10,100,16,14.8,4,38.5,9,20,4,10.5,10,10,4,0,0,100,0,836.925
20,39.5,14,4,4,4,19,20,4,4,4,36,20,4,4,20,20,4,4,4,40,0,4,4,4,13.33333,14,4,4,4,24,16,4,16,16,2,4,4,4,39,19,109.5,15,13.5,4,40,0,20,4,19,10,10,4,40,20,100,13,918.83333
20,36,16,4,4,4,17,19,4,4,4,31.75,14,4,4,19,15,4,4,4,40,20,4,4,4,13.83333,20,4,4,2,38,18,2,18,20,2,4,4,4,34,20,110,20,18.8,4,40,0,19.5,4,19.5,10,10,4,40,0,100,11,927.38333
20,37.75,14,4,4,4,18,18,0,0,0,30.25,11,4,4,19,16.2,4,4,0,40,19,4,4,4,15.16666,0,4,4,4,35,17,4,12,18,4,4,4,4,34,10,100,10,11.5,4,30.5,0,15.5,4,18,10,9.5,2,0,0,100,0,771.36666
20,39.75,16,4,4,4,20,20,4,4,4,28.75,0,0,0,17,16,4,4,4,40,20,4,4,4,10,20,4,4,4,32,6.5,4,13,17.5,4,4,0,0,36,10,98,17.5,16,4,40,9,12,4,11,10,10,4,40,17,110,13,875
19,35.125,20,4,4,4,17,18.5,0,4,0,3.5,16,0,0,20,17.1,4,4,4,40,16,4,4,3.5,13.16666,18.5,4,4,4,36,7.5,4,11,13.5,4,4,4,4,37,10,100,12,11,4,39.5,5,20,4,10,10,8,4,39,8,100,3.5,823.39166
20,41,18,4,4,4,18,19.75,4,4,4,26.25,14,4,4,20,14.5,4,4,2,40,20,4,4,4,10.5,19,4,4,2,36,18,4,11,18,2,4,4,4,39,15,99,15,7.7,4,37.5,4,18.5,0,11.5,7,7,4,40,16,100,0,876.2
19,41.25,14,4,0,4,18,17.5,4,4,4,27,15,0,2,17,15,4,4,4,36,18,4,4,3,11.33333,19,4,4,4,37,19,4,11,17.5,4,4,4,4,38.75,10,97,16,16.4,4,40,0,15.5,4,0,10,9,2,39,3,100,0,839.23333
20,42,14,4,4,4,19,20,4,4,4,32.5,16,4,4,20,16,4,4,4,40,20,4,4,4,13.83333,20,4,4,4,39,20,4,18,20,4,4,4,4,24.15,10,110,18,17,4,40,4,20,4,20,10,10,4,40,18,110,6,952.48333
20,41,14,4,4,4,20,18.75,4,4,4,24.125,20,4,4,19,11.2,4,4,0,40,18,4,4,4,12.66666,19.5,4,4,2,39,9,4,11,15.5,4,4,4,4,32.5,19,100,10,17.5,4,40,15,15,4,18,10,10,4,40,18,100,19.5,916.24166
20,39.5,8,4,4,4,20,18.5,0,4,4,10.5,12,4,0,18,19,2,2,0,40,18,4,2,3.5,9.5,19.5,4,2,4,37,13.5,4,6,20,2,4,0,0,37.5,10,100,10,5.4,0,40,4,15.5,4,15.5,10,10,4,40,15,100,9,821.4
20,0,14,4,4,4,19,20,0,4,4,31.75,20,4,4,20,17,4,4,2,40,19,4,4,4,15.83333,20,4,4,2,39,18,4,18,17.5,2,4,4,4,35,10,100,10,15,4,40,29,20,4,18,10,10,4,40,14,100,18,913.08333
20,42,14,4,4,4,18,19.5,0,4,4,28.25,20,4,4,20,15.2,4,4,2,40,17,4,4,4,14.33333,20,4,4,2,37,18,4,19,18,2,4,4,4,34,20,100,4,9.2,4,39.5,4,20,4,18,10,10,4,40,14,100,17,914.98333
0,29,0,0,0,0,0,0,0,0,0,28.25,0,0,0,15,0,0,0,0,32,0,0,0,0,0,0,0,0,0,15,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.25
20,29.5,14,4,4,4,11,18.5,4,4,4,29.25,19,4,4,18,12,4,4,4,40,20,4,4,4,12.5,19.5,4,4,4,31,16,4,10,20,4,4,4,4,36,15,105,18,15.5,4,37.5,4,15.5,4,4,10,10,4,36,14,100,0,865.75
20,37,14,0,0,0,19,19.5,0,0,0,28.25,20,2,2,20,7.8,2,4,2,15,0,4,4,2,9.5,0,2,4,2,37,13,4,10,20,4,4,4,4,32.25,10,100,15,9.5,4,28,9,15.5,4,13,10,9.5,4,40,19,110,0,777.8
20,39.125,18,4,4,2,18,10.5,4,4,4,33.875,18,4,4,16,16,4,4,4,40,17,4,4,4,13.16666,18.5,4,4,4,33.5,16,4,0,18,4,4,4,4,34,20,76.5,9,0,0,38.5,4,20,4,12,10,10,4,40,14,69.75,10,812.41666
20,5.5,14,0,0,0,6,0,0,0,0,0,17,0,0,0,12,4,4,4,37,18,4,4,4,5,18,4,4,2,16,17.5,4,6,17.5,4,4,4,4,30.5,10,58,0,4,4,21.875,4,20,4,0,10,9.5,2,10,6,91,1.5,560.875
2,41.25,14,4,0,0,14,14,0,0,0,11.75,11,0,0,13,0,4,4,0,13,15,4,0,0,0,0,4,3,2,33,0,0,6,19.5,4,4,4,4,34.75,15,79.5,16,3,0,0,4,15.5,4,2,10,10,0,40,16,94.75,7,605
20,40.5,20,4,4,4,18,12,4,4,4,5,13,4,4,16,18,4,4,4,38,20,4,4,4,8.83333,20,4,4,4,40,17,4,11,18,4,4,4,4,37.5,15,102,14.5,5.2,4,40,0,16,4,4.5,10,8.5,4,39,11,100,0,841.03333
20,15,14,0,4,3,16,16.75,4,2,4,40,16,4,4,16,17.2,4,4,4,40,20,4,4,4,13,20,4,4,4,40,18,4,7.5,17.5,0,4,4,4,39.5,20,100,17,9.9,4,40,0,20,4,17.5,10,10,4,20,18,100,13.5,876.35
20,25.5,14,0,2,3,14,16,2,4,2,6.5,19,0,0,14,9.3,4,2,0,15,18,4,3,3,11.16666,12.5,4,2,0,38,7,0,7,15,0,4,4,4,19,15,77,14,10.5,4,40,5,16,0,2.5,10,5.5,0,36,8,100,0,676.46666
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,41,14,3,3,0,10,15.5,0,0,0,0,20,0,0,10,7.4,0,0,0,0,9,0,0,0,8,12.5,0,0,0,0,7.5,0,10,16.5,0,4,0,0,20,0,100,0,0,0,0,0,0,0,0,10,7,0,15,0,100,0,468.4
20,41,18,4,4,4,19,20,4,4,4,40,20,4,4,20,16,4,4,2,40,20,4,4,4,15.33333,20,4,4,4,40,20,4,13,20,4,4,4,4,37.5,20,102,15,15.8,4,40,0,20,4,20,10,10,4,40,20,100,8.5,964.13333
20,41.5,14,4,4,4,17,20,4,4,4,31.5,16,4,4,16,16,4,4,4,40,19,4,4,4,14.16666,20,4,4,4,40,19,4,12,19,4,4,4,4,40,15,98,16,10.9,4,40,24,20,4,11,10,10,4,40,19,100,2,936.06666
20,41,20,4,4,4,20,20,4,4,4,40,20,4,4,20,16,4,4,4,40,20,4,4,4,15.3,20,4,4,4,40,20,4,19,20,4,4,4,4,40,20,105,18,19.5,4,40,0,20,4,18,10,10,2,40,20,100,10.5,985.3
20,42,14,4,4,3,20,20,4,4,4,35.5,20,4,4,20,16.5,4,4,2,38,20,3,2,4,15.16666,20,4,4,4,39,20,4,16,20,4,4,4,4,40,20,110,15,18.6,4,39,4,20,4,18,10,10,4,40,14,100,13,966.76666
20,35.25,12,4,4,0,10,15.5,0,0,0,0,19,4,2,11,14,4,4,2,22.5,20,4,4,3.5,8,20,4,0,2,20.75,15,4,7,17.5,4,4,4,4,17.5,10,77.5,15.5,4,4,31,69,19,4,3.5,0,6.5,4,0,16,100,1.5,717
20,34.375,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.375
20,12.5,20,4,4,4,17,20,4,4,4,33.5,16,2,4,18,14,4,4,2,40,19,4,4,4,12.5,20,4,4,0,39,17,4,10,18,4,2,4,4,38,10,100,15,9.5,4,38.5,4,15.5,4,8.5,10,10,4,40,13,100,5.5,859
20,36.5,18,4,4,4,15,13,0,4,4,16,16,2,4,12,7,4,4,2,30,16,4,4,4,7.5,17.5,4,4,2,38,5,4,8,17,4,4,4,4,36.5,10,76,15,5.7,4,38.75,0,16.5,4,3,10,10,4,0,9,100,1,718.95
20,39,19,4,4,4,17,19.5,4,4,4,17.5,11,0,4,18,15.7,4,4,4,40,17,4,4,4,10.5,18.5,4,4,4,30.75,7,4,12,19,4,4,4,4,24.5,10,110,16,6,4,32.75,0,15.5,0,9.5,10,7,4,40,19,110,7.5,846.2
20,34.5,14,4,4,4,15,18.5,4,4,4,2,20,2,0,9,4.8,0,2,2,0,13,0,0,0,6.5,12,4,4,4,27,7,0,5,13,4,4,0,0,32.75,10,84,0,4,0,17.5,10,14.5,4,0,0,0,2,0,11,12.75,0,478.8
20,42,20,4,4,4,20,20,4,4,4,38,20,4,4,20,20,4,4,4,40,20,4,4,4,15.16666,20,4,4,4,38,17,4,18,18,4,4,4,4,40,20,99.5,16,16,4,40,0,20,4,17.5,10,7,4,0,13,100,6,916.16666
20,40.875,16,4,4,4,19,20,4,4,4,20.25,20,4,4,19,19,4,4,4,40,20,4,4,3,13,20,4,4,4,38,17,4,16,16,4,4,4,4,39,20,99,18,14.1,4,40,4,18.5,4,14.5,10,10,4,40,20,100,15,940.225
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,4,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
2,33.5,0,0,0,0,12,15,0,0,0,0,13,0,0,0,17.5,4,4,4,36,19,4,4,0,10,20,4,4,4,31,16,4,11,20,4,4,4,4,35.5,10,80,12,9.5,4,39.5,59,15,0,2,10,9.5,2,40,14,100,0,750
20,33.5,0,4,0,0,12,20,4,4,4,0,20,4,4,17,16.5,4,4,2,20,19,4,4,4,8.66666,20,4,4,4,40,15,4,12,19,4,4,4,4,39,15,98,9,0,4,30.75,0,15,4,0,0,0,2,0,11,100,18,721.41666
20,39.5,14,4,4,4,19,18.5,4,4,4,30.875,16,4,4,18,17,4,4,4,40,20,4,4,4,9.5,20,4,4,4,38,18,4,12,19.5,4,4,4,4,38,15,105,18,11.9,4,38,4,17,4,20,10,10,4,40,17,100,14.5,933.275
20,39,20,4,4,4,17,19.5,4,4,4,29.625,16,4,4,20,16.8,4,4,4,40,20,4,4,4,14.16666,11.2,4,4,4,37,18,4,12,18.5,4,4,4,4,0,10,100,9,10,4,35.5,0,16,4,19.5,10,9,4,40,17,100,12.5,857.29166
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,41,18,4,4,4,19,18.5,4,4,4,2.5,20,4,4,20,16.4,4,4,4,40,19,4,4,2,14.16666,20,4,4,4,36,15,4,15,18.5,4,4,4,4,38.75,20,99.5,13.5,12.5,4,39,4,15.5,4,19,10,10,0,0,18,100,0,851.81666
20,38.75,14,4,4,4,18,19,4,4,4,31.75,19,4,4,19,18,4,4,2,40,17,4,4,4,13.16666,20,4,4,2,39,18,4,11,18,4,4,4,4,34,10,100,10,15.2,4,40,0,15.5,4,18,10,7,4,40,13,100,16.5,903.86666
20,38.125,20,0,4,0,20,15.5,4,4,4,30.75,12,4,4,20,18,4,4,4,40,20,4,4,4,14.5,20,4,4,4,37,20,4,18,18,4,4,4,4,39,20,110,18,18,4,39,4,17,4,16.5,10,10,4,40,15,110,17,957.375
20,26.5,14,4,0,4,18,19.25,4,4,4,29,12,2,4,19,17.2,4,4,2,40,20,4,4,4,14.16666,20,4,0,4,40,20,4,10,18.5,2,4,4,4,37.75,20,99.5,17,11.2,4,40,0,19,4,15.5,10,10,2,40,0,100,0,866.56666
20,40.5,8,4,4,4,18,19,4,4,4,33,19,4,4,20,16.7,4,4,4,40,20,4,4,4,12.16666,20,4,4,4,40,20,4,19,20,4,4,4,4,37,20,109.5,20,17.8,4,40,0,20,4,20,10,10,4,40,0,110,0,944.66666
20,38.5,20,4,4,4,18,17.5,0,0,0,35.25,17,0,0,17,18.2,4,4,2,40,20,4,4,3,13.5,20,4,4,2,36,14,4,14,16.5,2,4,4,4,33,15,100,16.5,8.6,4,40,4,20,4,18,10,10,4,40,20,110,12.5,911.05
20,13,0,0,4,0,14,16.5,4,4,4,20,12,4,4,0,16,0,4,0,0,0,0,0,0,0,20,2,4,2,26.5,8,2,0,14.5,0,2,0,0,0,0,100,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,337.5
0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
20,30.5,20,4,4,4,0,0,4,0,0,5.25,17,4,4,13,2.2,4,4,2,40,18,0,0,0,12.16666,18,0,0,0,17,11,4,10,18,4,4,4,4,33.5,20,105,11,12.9,4,40,15,19.5,4,17,10,10,4,40,18,110,15.5,800.51666
20,36.875,16,4,4,4,17,18.5,4,4,4,30.875,16,4,4,16,20,4,4,4,40,20,4,4,4,11,11,4,4,4,25.5,12,4,13,16.5,4,4,4,4,33.75,15,99.5,15,13.6,4,35.75,0,14,4,10.5,10,8,4,40,14,100,13.5,867.85
2,35.5,16,0,0,0,17,20,3,4,0,21.75,19,0,4,17,18,4,4,2,40,19,4,4,4,12.5,20,4,4,2,20,17,0,8,19.5,4,4,4,4,25,10,101,18,5,4,34,0,20,4,10.5,10,9.5,4,40,13,110,0,804.25
0,15.25,16,0,0,0,17,15,4,0,0,15.4,12,0,0,16,0,0,0,0,14,14,0,0,0,9.5,13.5,0,0,0,0,12,0,0,16.75,0,0,4,4,18,0,72,9,7.5,0,0,0,20,0,8.5,0,0,0,0,0,94.75,0,433.15
20,32.5,20,0,0,0,18,17.5,0,0,0,23,14,0,0,17,20,0,0,0,40,17,0,0,0,10,17.5,0,0,0,32,13,0,16,18,0,2,0,0,25.75,0,71.5,15,8.26,0,0,5,0,0,6.5,0,0,0,39,16,60,3,602.51
20,37.375,16,4,4,4,19,20,4,4,4,31,20,4,4,19,15,4,4,4,40,16,4,4,4,14,20,4,4,4,37,18,4,12,18,4,4,4,4,29.5,15,100,16,9,4,34.75,0,18.5,4,10.5,10,6,4,40,12,100,12.5,891.125
0,35.625,14,4,4,4,18,18.5,4,4,4,31,20,4,4,15,11.2,4,4,2,40,16,4,4,2,12.66666,20,4,2,2,27,9,2,12,16,4,4,4,2,35.5,10,100,12,9,4,30.75,4,20,4,8.5,10,10,4,40,9,100,14.5,822.24166
20,25,14,4,4,4,15,14,4,4,4,0,7,4,2,14,11.2,2,4,2,36.5,20,4,4,4,13.16666,20,4,4,4,38,12,4,11,16.5,4,2,4,2,38,20,103,15,12.5,0,40,0,15.5,4,15.5,10,10,4,40,14,104.75,8,824.61666
20,29.5,0,0,4,0,17,19.5,4,2,4,10.25,14,0,0,17,18,0,0,0,40,19,0,0,4,13.16666,19,0,0,0,0,16,0,15,12.5,0,4,0,0,35,10,77,15,10.1,0,14,0,0,0,0,0,0,0,0,0,40,0,503.01666
20,41,20,4,4,4,19,20,4,4,4,35.25,16,4,4,18,20,4,4,4,40,20,4,4,4,16,20,4,4,4,38,18,4,18,20,4,4,4,4,39,15,100,18,16,4,39,0,20,4,17,10,10,4,40,14,100,16,958.25
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
20,40,14,4,4,4,15,20,0,4,0,34.5,20,2,2,11,13.5,0,0,0,40,20,4,2,2,11.5,19.5,2,4,2,35,17,0,9.5,17.5,4,4,4,4,36,10,102,18,10.4,4,40,5,19,4,8.5,10,10,4,40,16,100,7,858.9
20,10.5,0,0,4,0,15,0,4,4,4,10.15,16,0,2,10,14,0,0,0,37,20,0,4,0,0,20,4,4,2,4,14.5,4,9,17.5,4,4,4,4,29.25,19,94.5,10,11.7,4,40,5,16.5,4,0,10,9.5,4,0,0,100,0,632.1
20,38.25,14,4,4,4,19,20,4,4,4,27.25,20,4,4,20,16.1,4,2,2,40,18,4,4,3,13,20,4,4,4,38,20,4,16,18,4,4,4,2,39,19,99.5,15,17.1,4,38.5,4,20,4,16.5,10,10,4,40,20,100,0,924.2
20,37,18,0,0,0,16,15,0,4,4,0,16,0,2,0,0,2,2,2,15,0,2,2,2,7,0,2,2,2,0,14,2,7,12.5,2,2,4,4,0,0,99.5,0,0,0,0,0,0,0,3,0,0,4,0,0,94.75,0,425.75
20,26,14,0,0,0,0,0,0,0,0,26,13,4,4,20,14.5,4,4,4,40,16,4,4,4,11.5,14,4,4,0,35,16,4,10,20,4,0,0,0,36,15,100,13,12.5,0,39.75,4,15.5,0,4.5,10,9.5,0,36,13,100,3,755.75
0,7,0,0,0,0,11,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,8.33333,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,55.33333
20,11,14,4,4,4,19,19.75,4,4,4,33.25,0,4,4,20,16,4,4,4,40,20,4,4,4,0,18,4,4,2,30.5,20,4,19,19.5,4,4,4,4,39,15,105,16,17.8,1,40,0,19.5,4,18,10,9.5,4,39,20,100,9.5,873.3
20,37,14,0,4,4,16,15,3,0,0,39.5,16,4,4,17,15,4,4,2,36,19,4,0,4,16.16666,20,4,4,2,40,16,4,16,18.5,4,4,4,4,38.5,19,110,15,14.8,4,40,0,20,4,15,10,10,4,39,20,100,10,916.46666
20,37.5,14,0,4,0,12,20,0,4,4,10.45,16,4,4,17,8,4,4,4,40,17,4,4,4,11,14.5,4,4,4,21,10,4,8,16,4,4,4,4,30,10,100,0,14,4,36,0,20,0,20,0,0,4,40,20,100,13,784.45
0,21.75,0,0,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.75
20,30.375,8,4,0,0,15,17,4,4,4,20.5,17,4,4,13,7.2,4,2,2,11,19,3,3,3,10,15.5,4,3,2,39,17,4,8,19.25,4,4,0,4,32.125,10,99.5,0,4,0,28.25,4,15.5,4,19,10,10,4,40,12,100,7,757.2
20,40.375,20,4,4,4,19,17.5,4,4,4,31,20,4,4,19,17.2,2,4,0,40,20,4,0,0,11.5,19,4,0,0,40,14,4,16,20,4,4,4,4,38.5,10,99.5,15,11.4,2,38.25,22,18.5,0,16,10,10,4,40,19,100,8.5,918.225
20,40,20,4,4,4,19,20,4,4,4,38.5,20,4,4,20,16,4,4,4,40,20,4,4,4,14,19,4,4,4,40,20,4,18,20,4,2,4,4,40,20,105,16,16.8,4,39.75,0,20,0,16.5,10,9.5,0,34,20,100,0,947.05
20,5,16,4,0,0,12,20,0,0,0,0,19,0,0,7,12,4,4,4,29.5,20,4,4,4,7,17,4,4,2,21.5,20,4,7,18,4,4,4,4,25,19,94,18,0,4,40,4,19.5,4,0,7,5,4,40,16,100,0,715.5
20,39.25,14,4,4,4,18,20,4,4,4,27.75,17,4,4,15,16,4,4,4,40,19,4,4,4,13.16666,19.5,4,4,4,37,16,4,14,18,4,4,4,4,37.5,20,105,18,18.8,4,40,4,15.5,4,16,10,10,4,40,16,100,4,923.46666
19,39.5,16,4,4,4,19,19.5,4,4,4,0,17,4,4,18,6,4,4,4,35,20,0,4,4,13.5,18.5,4,4,4,32.5,16,4,14,14.5,4,4,4,4,32.75,20,102,14,18.8,4,39.75,65,20,4,18,10,10,4,40,16,96.25,12.5,934.05
0,0,14,0,0,0,0,0,0,0,0,4.25,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25
20,36.625,14,4,3,4,17,14,0,4,0,21.75,16,4,4,13,10.8,4,4,2,0,0,0,0,0,10.16666,16,4,4,2,33,13,0,10,16,0,4,4,0,18.75,10,99.5,14,7.5,4,13,54,17.5,4,5,10,10,4,40,13,100,0,741.59166
20,28.5,14,4,4,0,17,20,0,0,0,11.35,16,0,0,16,18.5,0,0,0,40,19.5,0,0,0,14,20,0,0,0,37,20,4,14,20,4,4,4,4,31.25,10,110,12,5.4,4,36.5,4,18,0,4,0,0,4,40,15,110,19,802
19,40.5,16,4,4,4,19,20,4,4,4,27.25,20,0,0,18,16.8,4,4,4,40,16,4,4,3,14.16666,19,4,4,2,32,18,4,19,20,4,4,4,4,39,15,56.5,16,15.3,4,37.75,0,19.5,4,20,10,10,4,40,0,94.75,0,842.51666
